species,site,Leaf_area,Lwratio,SLA,SD,SPI,MAP,MAT,ratio
1,1,0.958,6.2113,95.8,38.88888889,0.107869136,429,16.7,90
1,1,6.8,12.0129,46.575,40.74074074,0.179263786,429,16.7,90
1,1,3.75,13.4585,57.692,40.74074074,0.170368724,429,16.7,90
1,1,5.157,9.5327,50.559,42.59259259,0.179953704,429,16.7,90
1,1,3.933,11.8439,57.838,44.44444444,0.1764,429,16.7,90
1,1,3.705,13.0176,58.81,46.2962963,0.207824074,429,16.7,90
1,1,4.446,13.1781,51.698,48.14814815,0.197214815,429,16.7,90
1,1,3.696,11.846,57.75,50,0.1922,429,16.7,90
1,1,6.217,13.1327,62.798,51.85185185,0.210178601,429,16.7,90
2,1,4.909,16.9594,45.879,27.77777778,0.116160494,224,13.7,19
2,1,3.167,13.6907,67.383,37.03703704,0.100148148,224,13.7,19
2,1,4.543,16.7236,52.826,37.03703704,0.128925926,224,13.7,19
2,1,3.034,11.4322,52.31,40.74074074,0.159993416,224,13.7,19
2,1,3.036,13.9967,69,42.59259259,0.146594239,224,13.7,19
2,1,4.227,10.1859,48.586,44.44444444,0.191649383,224,13.7,19
2,1,2.485,13.4276,56.477,44.44444444,0.16,224,13.7,19
2,1,3.738,12.1049,47.923,44.44444444,0.134444444,224,13.7,19
2,1,3.346,13.7484,48.493,51.85185185,0.094393416,224,13.7,19
2,1,2.497,13.8658,58.07,53.7037037,0.111996091,224,13.7,19
2,1,2.481,12.4629,59.071,55.55555556,0.154098765,224,13.7,19
2,1,3.125,10.3543,80.128,55.55555556,0.174222222,224,13.7,19
3,1,6.083,8.0576,46.792,27.77777778,0.105632716,472,17.6,18
3,1,3.698,12.4792,55.194,48.14814815,0.205517695,472,17.6,18
3,1,4.463,14.1664,42.913,50,0.160555556,472,17.6,18
3,1,3.847,10.2305,40.073,51.85185185,0.20146749,472,17.6,18
3,1,5.348,10.6218,45.322,53.7037037,0.210900412,472,17.6,18
3,1,5.008,10.1769,50.08,53.7037037,0.17244856,472,17.6,18
3,1,4.209,11.6255,45.258,53.7037037,0.184836214,472,17.6,18
3,1,6.237,12.078,52.412,55.55555556,0.186888889,472,17.6,18
3,1,3.368,10.6917,52.625,61.11111111,0.12375,472,17.6,18
3,1,5.911,12.7841,51.851,61.11111111,0.245123457,472,17.6,18
3,1,4.358,12.3478,53.802,62.96296296,0.17909465,472,17.6,18
3,1,4.608,11.4549,49.021,68.51851852,0.192468519,472,17.6,18
4,1,4.287,8.7169,57.932,29.62962963,0.141066667,283,14.4,59
4,1,2.26,11.839,64.571,37.03703704,0.110683128,283,14.4,59
4,1,5.227,10.9387,52.798,40.74074074,0.154927984,283,14.4,59
4,1,3.987,10.0181,50.468,42.59259259,0.131984979,283,14.4,59
4,1,3.227,8.9962,50.422,42.59259259,0.140006584,283,14.4,59
4,1,3.664,12.7119,65.429,44.44444444,0.239012346,283,14.4,59
4,1,3.189,11.1833,55.947,44.44444444,0.109634568,283,14.4,59
4,1,3.685,7.528,50.479,46.2962963,0.136671811,283,14.4,59
4,1,4.536,13.9086,49.304,50,0.202672222,283,14.4,59
4,1,3.003,9.0074,63.894,53.7037037,0.1566,283,14.4,59
4,1,3.023,10.6276,60.46,53.7037037,0.197653498,283,14.4,59
4,1,2.412,11.2128,104.87,61.11111111,0.077740123,283,14.4,59
5,1,5.979,8.0227,60.394,38.88888889,0.179822222,476,16.9,51
5,1,4.364,12.7941,58.187,38.88888889,0.14,476,16.9,51
5,1,2.926,11.0706,65.022,42.59259259,0.135165226,476,16.9,51
5,1,5.845,12.2856,60.885,44.44444444,0.213649383,476,16.9,51
5,1,4.377,8.0675,48.099,46.2962963,0.155740741,476,16.9,51
5,1,5.83,8.0894,50.259,48.14814815,0.150992593,476,16.9,51
5,1,5.137,9.1012,50.363,48.14814815,0.209733333,476,16.9,51
5,1,3.029,16.8752,36.06,53.7037037,0.25321893,476,16.9,51
5,1,4.605,6.5058,50.054,53.7037037,0.17244856,476,16.9,51
5,1,5.33,8.224,54.388,55.55555556,0.1805,476,16.9,51
5,1,3.127,7.9253,45.985,62.96296296,0.206966255,476,16.9,51
5,1,4.039,9.6607,54.581,62.96296296,0.176862963,476,16.9,51
6,1,2.952,9.3573,50.897,35.18518519,0.105148971,575,11.5,17
6,1,3.574,9.4199,48.297,35.18518519,0.145623663,575,11.5,17
6,1,3.028,10.9421,48.839,42.59259259,0.138383333,575,11.5,17
6,1,3.255,8.6267,55.169,48.14814815,0.1404,575,11.5,17
6,1,3.243,11.9282,54.05,50,0.1352,575,11.5,17
6,1,3.396,9.3594,56.6,51.85185185,0.109718519,575,11.5,17
6,1,3.136,12.0163,46.118,59.25925926,0.206281481,575,11.5,17
6,1,4.22,10.4525,51.463,62.96296296,0.211807407,575,11.5,17
6,1,3.132,10.8505,45.391,64.81481481,0.19844856,575,11.5,17
6,1,2.613,9.7537,50.25,64.81481481,0.15562037,575,11.5,17
7,1,4.709,11.1756,47.566,38.88888889,0.151100617,894,14.2,44
7,1,4.247,10.129,52.432,40.74074074,0.149944033,894,14.2,44
7,1,4.099,14.3475,66.113,44.44444444,0.131204938,894,14.2,44
7,1,4.3,12.5948,46.739,46.2962963,0.153955761,894,14.2,44
7,1,5.187,10.3916,43.588,46.2962963,0.170390947,894,14.2,44
7,1,5.721,9.5713,48.483,46.2962963,0.172268519,894,14.2,44
7,1,3.743,10.4626,50.581,48.14814815,0.1404,894,14.2,44
7,1,5.916,9.8061,46.952,48.14814815,0.179159259,894,14.2,44
7,1,3.825,14.6806,54.643,53.7037037,0.139683333,894,14.2,44
7,1,3.795,10.6405,51.284,59.25925926,0.188055967,894,14.2,44
7,1,3.804,9.7177,46.963,61.11111111,0.189369753,894,14.2,44
8,1,4.358,15.202,53.802,37.03703704,0.150127572,545,17,91
8,1,2.768,15.4344,69.2,37.96296296,0.157935417,545,17,91
8,1,1.945,17.0456,77.8,37.96296296,0.173823971,545,17,91
8,1,3.514,21.1206,44.481,39.81481481,0.167356044,545,17,91
8,1,2.918,11.8136,45.594,40.74074074,0.151596296,545,17,91
8,1,2.197,13.2461,57.816,41.66666667,0.148337963,545,17,91
8,1,2.685,16.4881,50.66,42.59259259,0.183663992,545,17,91
8,1,1.699,14.1186,56.633,42.59259259,0.176281276,545,17,91
8,1,4.116,17.9021,47.31,42.59259259,0.215718467,545,17,91
