site,round ,plant,leaf,date,time_since_6AM,relative_humidity,air_temp,leaf_area,SLA,LWR,stomata_density,SPI,transp,photosynthesis,Photosystem_II_yield,leaf_surface_temp
De_Hoop,2,20,3,41116,0.3219,47.6,24.4,4.232,42.32,6.787234043,71.25955454,0.12871257,3.667420651,16.20351515,0.44075,20.7
De_Hoop,2,20,4,41116,0.3244,47.6,24.4,4.285,44.63541667,6.919191919,52.39673128,0.15658472,3.337992113,14.38830981,0.37175,19.6
De_Hoop,2,30,3,41118,0.3149,57,18.6,5.03006,32.24397436,6.81920078,52.39673128,0.100290618,3.440221102,19.24352261,0.38175,15.4
De_Hoop,2,30,4,41118,0.3171,57,18.6,5.95565,30.38596939,8.15065666,48.20499278,0.11261222,3.699363461,21.57074988,0.405,15.6
De_Hoop,2,32,3,41119,0.2373,53.5,19.3,3.71919,37.1919,9.049378109,44.01325428,0.121311532,3.079443485,19.8685264,0.308517953,15.9
De_Hoop,2,32,4,41119,0.2396,53.5,19.3,4.79007,32.80869863,6.894685039,41.91738503,0.11189613,2.752739787,17.45083822,0.29154434,14.4
De_Hoop,1,34,1,41074,0.1951,56,19.1,5.37433,36.56006803,8.62602459,48.20499278,0.087070268,2.981729425,19.56241635,0.45025,21.7
De_Hoop,1,34,2,41074,0.198,56,19.1,5.61193,37.91844595,8.55955956,50.30086203,0.101859246,3.330308157,20.14859451,0.4135,20.5
De_Hoop,2,34,3,41118,0.2077,64.3,17.9,4.9587,37.56590909,8.212343096,48.20499278,0.090518265,2.951174838,21.15330864,0.39075,16.2
De_Hoop,2,34,4,41118,0.2101,64.3,17.9,5.19661,35.83868966,8.758406358,39.82151577,0.080638569,2.615866814,20.13239867,0.36475,15.9
De_Hoop,1,36,1,41074,0.283,43.9,23,4.52085,35.04534884,8.515675676,54.49260053,0.102324995,2.855715245,15.01312151,0.4885,21.9
De_Hoop,1,36,2,41074,0.2856,43.9,23,6.94554,36.1746875,8.04173913,44.01325428,0.079498941,3.043406126,16.09384107,0.4195,22.5
De_Hoop,2,36,3,41118,0.3261,57.5,20,5.70887,32.62211429,8.182363977,67.06781604,0.111826269,3.459875798,22.37325348,0.384,14.6
De_Hoop,2,36,4,41118,0.3284,57.5,20,4.3043,34.71209677,6.795281124,50.30086203,0.101859246,3.201689873,19.11931231,0.356,14.2
De_Hoop,1,40,1,41074,0.3426,51.8,23.8,6.47195,34.79543011,10.11873638,56.58846978,0.118875085,3.259398969,15.8266282,0.36725,18
De_Hoop,1,40,2,41074,0.3445,51.8,23.8,5.30874,34.92592105,7.03538175,46.10912353,0.08994481,2.349543795,11.41592401,0.19125,17.9
De_Hoop,2,40,3,41119,0.1787,66.4,15.5,4.74169,39.51408333,8.800761697,46.10912353,0.070732676,2.345151807,18.67311273,0.24425,16
De_Hoop,2,40,4,41119,0.1806,66.4,15.5,3.7889,39.46770833,5.991599101,46.10912353,0.07688056,2.900040778,22.47747881,0.2675,14.3
De_Hoop,1,42,1,41075,0.1964,67.3,20,3.33563,40.67841463,9.998597475,69.16368529,0.134917216,3.66985416,16.99918701,0.307,21.4
De_Hoop,1,42,2,41075,0.1987,67.3,20,4.1658,35.91206897,8.878562577,44.01325428,0.076411899,2.84022255,15.09343521,0.29225,21.6
De_Hoop,1,48,1,41075,0.2481,55.3,20.8,5.03323,34.95298611,8.962962963,50.30086203,0.125752155,3.305135836,16.95869295,0.3955,20.1
De_Hoop,1,48,2,41075,0.2494,55.3,20.8,4.57968,34.43368421,9.422764228,58.68433904,0.101882532,3.325503035,16.20635362,0.41825,20
