Path analysis results at Kleinmond 

Inference for Bugs model at "physiology-path-analysis.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                   mu.vect sd.vect    2.5%     25%     50%    75%  97.5%  Rhat n.eff
beta.fluor.humid    -0.058   0.423  -0.916  -0.324  -0.047  0.214  0.760 1.001  3600
beta.fluor.lfarea   -0.133   0.214  -0.567  -0.273  -0.131  0.008  0.274 1.001  4000
beta.fluor.lwr       0.069   0.217  -0.365  -0.073   0.069  0.214  0.488 1.001  3800
beta.fluor.sdi       0.406   0.362  -0.289   0.170   0.406  0.638  1.129 1.001  4000
beta.fluor.sla       0.017   0.298  -0.573  -0.175   0.018  0.212  0.606 1.002  2500
beta.fluor.spi       0.161   0.191  -0.222   0.040   0.162  0.284  0.536 1.002  2400
beta.fluor.temp     -0.235   0.356  -0.915  -0.467  -0.241 -0.010  0.485 1.001  2700
beta.lftemp.humid    0.052   0.521  -1.018  -0.259   0.061  0.382  1.032 1.001  4000
beta.lftemp.lfarea  -0.140   0.275  -0.675  -0.317  -0.142  0.040  0.403 1.002  1700
beta.lftemp.lwr     -0.220   0.267  -0.750  -0.393  -0.221 -0.042  0.303 1.001  3500
beta.lftemp.sdi      0.368   0.444  -0.492   0.078   0.363  0.654  1.268 1.002  1600
beta.lftemp.sla     -0.311   0.380  -1.078  -0.563  -0.305 -0.057  0.421 1.001  4000
beta.lftemp.spi     -0.077   0.242  -0.568  -0.234  -0.084  0.075  0.415 1.001  4000
beta.lftemp.temp     0.310   0.487  -0.786   0.042   0.345  0.629  1.138 1.002  4000
beta.photo.fluor    -0.042   0.296  -0.625  -0.232  -0.043  0.148  0.546 1.001  3300
beta.photo.humid     0.012   0.292  -0.560  -0.179   0.011  0.207  0.575 1.001  4000
beta.photo.lftemp   -0.382   0.258  -0.877  -0.552  -0.383 -0.219  0.146 1.002  1700
beta.photo.temp      0.051   0.374  -0.696  -0.182   0.055  0.291  0.786 1.001  4000
beta.photo.trans     0.642   0.176   0.290   0.530   0.647  0.756  0.983 1.001  4000
beta.trans.humid    -0.766   0.619  -1.935  -1.173  -0.793 -0.367  0.508 1.001  2700
beta.trans.lfarea    0.341   0.298  -0.274   0.152   0.343  0.529  0.936 1.001  4000
beta.trans.lwr      -0.120   0.307  -0.714  -0.322  -0.121  0.080  0.504 1.002  2000
beta.trans.sdi      -0.231   0.508  -1.254  -0.567  -0.224  0.098  0.781 1.002  1800
beta.trans.sla       0.467   0.408  -0.323   0.203   0.454  0.731  1.285 1.001  4000
beta.trans.spi      -0.042   0.269  -0.600  -0.220  -0.035  0.145  0.456 1.001  4000
beta.trans.temp     -0.481   0.529  -1.577  -0.810  -0.465 -0.140  0.501 1.001  4000
rho.lf[1,1]          1.000   0.000   1.000   1.000   1.000  1.000  1.000 1.000     1
rho.lf[2,1]         -0.008   0.399  -0.735  -0.318  -0.004  0.303  0.720 1.003  1200
rho.lf[3,1]         -0.004   0.396  -0.728  -0.307  -0.010  0.294  0.716 1.001  4000
rho.lf[4,1]          0.006   0.400  -0.727  -0.300   0.003  0.318  0.737 1.001  4000
rho.lf[5,1]          0.014   0.403  -0.721  -0.299   0.012  0.335  0.728 1.002  2600
rho.lf[1,2]         -0.008   0.399  -0.735  -0.318  -0.004  0.303  0.720 1.003  1200
rho.lf[2,2]          1.000   0.000   1.000   1.000   1.000  1.000  1.000 1.000     1
rho.lf[3,2]          0.011   0.397  -0.724  -0.292   0.020  0.315  0.737 1.001  4000
rho.lf[4,2]          0.018   0.405  -0.717  -0.294   0.021  0.320  0.755 1.002  2500
rho.lf[5,2]         -0.007   0.405  -0.731  -0.326  -0.009  0.310  0.741 1.002  2100
rho.lf[1,3]         -0.004   0.396  -0.728  -0.307  -0.010  0.294  0.716 1.001  4000
rho.lf[2,3]          0.011   0.397  -0.724  -0.292   0.020  0.315  0.737 1.001  4000
rho.lf[3,3]          1.000   0.000   1.000   1.000   1.000  1.000  1.000 1.000     1
rho.lf[4,3]          0.008   0.398  -0.733  -0.286   0.019  0.311  0.729 1.001  4000
rho.lf[5,3]         -0.007   0.399  -0.713  -0.322  -0.005  0.302  0.716 1.001  4000
rho.lf[1,4]          0.006   0.400  -0.727  -0.300   0.003  0.318  0.737 1.001  4000
rho.lf[2,4]          0.018   0.405  -0.717  -0.294   0.021  0.320  0.755 1.002  2500
rho.lf[3,4]          0.008   0.398  -0.733  -0.286   0.019  0.311  0.729 1.001  4000
rho.lf[4,4]          1.000   0.000   1.000   1.000   1.000  1.000  1.000 1.000     1
rho.lf[5,4]         -0.008   0.402  -0.746  -0.321  -0.002  0.295  0.727 1.001  4000
rho.lf[1,5]          0.014   0.403  -0.721  -0.299   0.012  0.335  0.728 1.002  2600
rho.lf[2,5]         -0.007   0.405  -0.731  -0.326  -0.009  0.310  0.741 1.002  2100
rho.lf[3,5]         -0.007   0.399  -0.713  -0.322  -0.005  0.302  0.716 1.001  4000
rho.lf[4,5]         -0.008   0.402  -0.746  -0.321  -0.002  0.295  0.727 1.001  4000
rho.lf[5,5]          1.000   0.000   1.000   1.000   1.000  1.000  1.000 1.000     1
rho.ph[1,1]          1.000   0.000   1.000   1.000   1.000  1.000  1.000 1.000     1
rho.ph[2,1]         -0.074   0.274  -0.574  -0.277  -0.082  0.120  0.463 1.000  4000
rho.ph[3,1]          0.132   0.292  -0.458  -0.076   0.143  0.350  0.653 1.001  3400
rho.ph[1,2]         -0.074   0.274  -0.574  -0.277  -0.082  0.120  0.463 1.000  4000
rho.ph[2,2]          1.000   0.000   1.000   1.000   1.000  1.000  1.000 1.000     1
rho.ph[3,2]          0.249   0.273  -0.324   0.072   0.269  0.447  0.719 1.003  1400
rho.ph[1,3]          0.132   0.292  -0.458  -0.076   0.143  0.350  0.653 1.001  3400
rho.ph[2,3]          0.249   0.273  -0.324   0.072   0.269  0.447  0.719 1.003  1400
rho.ph[3,3]          1.000   0.000   1.000   1.000   1.000  1.000  1.000 1.000     1
sigmasq.fluor        0.598   0.439   0.188   0.335   0.477  0.715  1.673 1.001  4000
sigmasq.lftemp       0.866   0.835   0.211   0.421   0.640  1.009  2.784 1.002  2200
sigmasq.photo        0.669   0.264   0.335   0.486   0.611  0.784  1.350 1.001  4000
sigmasq.trans        1.593   1.215   0.391   0.840   1.249  1.957  4.778 1.001  3700
deviance           -13.900  32.498 -76.446 -35.504 -14.681  7.405 50.362 1.001  4000

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

