Path analysis results at Kleinmond 

Inference for Bugs model at "physiology-path-analysis.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                   mu.vect sd.vect    2.5%     25%     50%    75%  97.5%  Rhat n.eff
beta.fluor.humid    -0.046   0.414  -0.885  -0.314  -0.042  0.227  0.768 1.001  3300
beta.fluor.lfarea   -0.134   0.218  -0.558  -0.278  -0.134  0.009  0.289 1.001  3900
beta.fluor.lwr       0.073   0.217  -0.364  -0.069   0.075  0.214  0.498 1.002  1700
beta.fluor.sdi       0.408   0.362  -0.291   0.166   0.404  0.644  1.126 1.001  2900
beta.fluor.sla       0.015   0.296  -0.564  -0.188   0.010  0.213  0.590 1.003  1200
beta.fluor.spi       0.161   0.195  -0.234   0.035   0.162  0.288  0.540 1.001  4000
beta.fluor.temp     -0.232   0.352  -0.932  -0.451  -0.235 -0.011  0.476 1.001  4000
beta.lftemp.humid    0.039   0.511  -1.063  -0.272   0.052  0.376  1.017 1.001  4000
beta.lftemp.lfarea  -0.133   0.273  -0.660  -0.309  -0.130  0.039  0.410 1.001  4000
beta.lftemp.lwr     -0.222   0.264  -0.738  -0.400  -0.220 -0.050  0.299 1.002  1500
beta.lftemp.sdi      0.381   0.447  -0.490   0.081   0.374  0.671  1.269 1.001  4000
beta.lftemp.sla     -0.314   0.375  -1.061  -0.560  -0.310 -0.069  0.396 1.001  4000
beta.lftemp.spi     -0.083   0.242  -0.559  -0.245  -0.088  0.080  0.397 1.001  3500
beta.lftemp.temp     0.304   0.474  -0.801   0.044   0.346  0.608  1.139 1.001  4000
beta.photo.fluor    -0.040   0.300  -0.630  -0.234  -0.037  0.146  0.563 1.001  4000
beta.photo.humid     0.008   0.290  -0.565  -0.180   0.005  0.194  0.583 1.001  3100
beta.photo.lftemp   -0.380   0.261  -0.907  -0.549  -0.377 -0.208  0.140 1.001  3500
beta.photo.temp      0.047   0.369  -0.660  -0.196   0.041  0.287  0.784 1.002  2500
beta.photo.trans     0.638   0.177   0.276   0.525   0.640  0.749  0.982 1.001  4000
beta.trans.humid    -0.757   0.630  -1.981  -1.169  -0.761 -0.348  0.544 1.001  4000
beta.trans.lfarea    0.336   0.288  -0.221   0.146   0.335  0.521  0.909 1.001  4000
beta.trans.lwr      -0.116   0.306  -0.732  -0.315  -0.119  0.090  0.475 1.001  4000
beta.trans.sdi      -0.221   0.499  -1.214  -0.539  -0.222  0.103  0.774 1.001  4000
beta.trans.sla       0.456   0.412  -0.334   0.174   0.448  0.731  1.276 1.002  2400
beta.trans.spi      -0.043   0.278  -0.595  -0.223  -0.040  0.138  0.497 1.001  4000
beta.trans.temp     -0.482   0.533  -1.567  -0.804  -0.464 -0.142  0.526 1.001  4000
mu.lf[1,1]          -1.011   0.604  -2.178  -1.377  -1.031 -0.655  0.239 1.002  1500
mu.lf[2,1]          -2.155   0.577  -3.241  -2.514  -2.170 -1.829 -0.929 1.000  4000
mu.lf[3,1]          -1.065   0.591  -2.216  -1.421  -1.081 -0.720  0.137 1.001  4000
mu.lf[4,1]           0.060   0.575  -1.097  -0.271   0.065  0.408  1.196 1.001  4000
mu.lf[5,1]          -1.281   0.591  -2.437  -1.642  -1.296 -0.928 -0.037 1.001  4000
mu.lf[6,1]          -1.075   0.586  -2.283  -1.437  -1.074 -0.734  0.097 1.001  3700
mu.lf[7,1]          -1.576   0.584  -2.705  -1.928  -1.583 -1.226 -0.404 1.002  3800
mu.lf[8,1]           0.198   0.594  -0.979  -0.161   0.192  0.551  1.443 1.001  3100
mu.lf[9,1]          -0.146   0.580  -1.282  -0.503  -0.150  0.206  1.019 1.001  4000
mu.lf[10,1]         -0.711   0.576  -1.861  -1.062  -0.714 -0.368  0.463 1.001  3700
mu.lf[11,1]         -0.802   0.591  -1.977  -1.158  -0.809 -0.455  0.402 1.001  4000
mu.lf[12,1]         -0.174   0.582  -1.330  -0.526  -0.185  0.170  1.045 1.001  2700
mu.lf[13,1]         -1.111   0.574  -2.265  -1.467  -1.118 -0.769  0.063 1.002  2200
mu.lf[14,1]         -0.259   0.583  -1.400  -0.614  -0.262  0.085  0.917 1.001  4000
mu.lf[15,1]          0.358   0.585  -0.874   0.014   0.363  0.707  1.526 1.001  3200
mu.lf[16,1]          0.880   0.596  -0.399   0.530   0.887  1.252  2.045 1.001  4000
mu.lf[17,1]          0.019   0.585  -1.143  -0.327   0.018  0.381  1.158 1.002  1600
mu.lf[18,1]         -0.258   0.581  -1.393  -0.609  -0.269  0.091  0.933 1.002  2500
mu.lf[19,1]         -0.120   0.587  -1.324  -0.461  -0.128  0.216  1.114 1.001  4000
mu.lf[20,1]         -0.438   0.576  -1.589  -0.783  -0.435 -0.089  0.724 1.002  2000
mu.lf[21,1]         -0.748   0.577  -1.894  -1.094  -0.754 -0.409  0.443 1.001  4000
mu.lf[1,2]           2.608   0.585   1.409   2.267   2.625  2.960  3.734 1.001  4000
mu.lf[2,2]           2.089   0.577   0.921   1.738   2.092  2.453  3.264 1.002  4000
mu.lf[3,2]           0.886   0.565  -0.259   0.547   0.887  1.227  2.014 1.001  4000
mu.lf[4,2]           2.056   0.589   0.803   1.723   2.077  2.412  3.166 1.001  2800
mu.lf[5,2]           1.353   0.573   0.185   1.014   1.363  1.697  2.490 1.001  4000
mu.lf[6,2]           0.402   0.584  -0.795   0.061   0.413  0.752  1.586 1.001  4000
mu.lf[7,2]          -0.308   0.569  -1.505  -0.640  -0.306  0.037  0.864 1.001  4000
mu.lf[8,2]           1.027   0.589  -0.178   0.684   1.037  1.377  2.185 1.001  4000
mu.lf[9,2]           1.561   0.581   0.384   1.230   1.568  1.912  2.696 1.002  1600
mu.lf[10,2]         -0.367   0.572  -1.549  -0.694  -0.363 -0.014  0.743 1.001  4000
mu.lf[11,2]          0.020   0.582  -1.153  -0.329   0.029  0.371  1.186 1.000  4000
mu.lf[12,2]         -0.244   0.589  -1.409  -0.597  -0.252  0.100  0.974 1.002  2400
mu.lf[13,2]          0.183   0.568  -1.024  -0.141   0.185  0.516  1.309 1.001  4000
mu.lf[14,2]          0.942   0.567  -0.207   0.601   0.937  1.286  2.095 1.001  4000
mu.lf[15,2]          1.323   0.580   0.108   0.979   1.326  1.674  2.440 1.001  4000
mu.lf[16,2]         -0.434   0.583  -1.650  -0.768  -0.427 -0.096  0.736 1.001  3000
mu.lf[17,2]          0.866   0.583  -0.303   0.517   0.876  1.212  2.003 1.001  4000
mu.lf[18,2]         -0.580   0.585  -1.767  -0.922  -0.581 -0.238  0.667 1.001  4000
mu.lf[19,2]          1.185   0.580  -0.004   0.839   1.192  1.539  2.324 1.001  4000
mu.lf[20,2]          0.499   0.588  -0.710   0.158   0.513  0.848  1.684 1.001  4000
mu.lf[21,2]          0.168   0.581  -0.986  -0.179   0.169  0.513  1.373 1.001  3500
mu.lf[1,3]           0.749   0.602  -0.514   0.399   0.758  1.108  1.982 1.001  4000
mu.lf[2,3]          -0.121   0.589  -1.285  -0.478  -0.110  0.237  1.037 1.002  2000
mu.lf[3,3]           2.054   0.586   0.838   1.718   2.069  2.408  3.222 1.001  4000
mu.lf[4,3]           0.480   0.582  -0.697   0.136   0.486  0.826  1.660 1.003  1200
mu.lf[5,3]          -0.105   0.593  -1.344  -0.444  -0.095  0.250  1.070 1.002  2000
mu.lf[6,3]           0.758   0.587  -0.478   0.408   0.761  1.120  1.912 1.001  4000
mu.lf[7,3]           2.272   0.590   1.032   1.921   2.287  2.635  3.432 1.001  4000
mu.lf[8,3]           1.015   0.597  -0.220   0.661   1.036  1.369  2.166 1.001  4000
mu.lf[9,3]           0.861   0.585  -0.321   0.529   0.859  1.217  2.001 1.001  4000
mu.lf[10,3]         -0.072   0.582  -1.263  -0.415  -0.075  0.270  1.065 1.001  4000
mu.lf[11,3]          0.592   0.601  -0.598   0.245   0.598  0.953  1.752 1.003  1200
mu.lf[12,3]          1.148   0.578  -0.023   0.800   1.158  1.489  2.340 1.001  4000
mu.lf[13,3]          0.225   0.591  -1.022  -0.117   0.231  0.581  1.399 1.001  4000
mu.lf[14,3]          1.527   0.583   0.304   1.180   1.525  1.890  2.652 1.002  2300
mu.lf[15,3]          1.049   0.578  -0.168   0.719   1.054  1.392  2.168 1.003  1200
mu.lf[16,3]          1.053   0.603  -0.157   0.706   1.059  1.406  2.241 1.001  4000
