Path analysis results at De Hoop 

Inference for Bugs model at "physiology-path-analysis.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                   mu.vect sd.vect   2.5%    25%    50%    75%  97.5%  Rhat n.eff
beta.fluor.humid    -0.988   0.399 -1.756 -1.254 -0.988 -0.731 -0.169 1.000  4000
beta.fluor.lfarea   -0.234   0.341 -0.901 -0.460 -0.239 -0.010  0.432 1.001  4000
beta.fluor.lwr       0.543   0.364 -0.157  0.300  0.540  0.784  1.261 1.001  4000
beta.fluor.sdi       0.515   0.234  0.053  0.360  0.509  0.672  0.986 1.001  3300
beta.fluor.sla      -0.142   0.254 -0.635 -0.306 -0.143  0.032  0.358 1.001  4000
beta.fluor.spi      -0.220   0.267 -0.763 -0.396 -0.214 -0.047  0.294 1.001  4000
beta.fluor.temp     -0.361   0.296 -0.940 -0.557 -0.364 -0.162  0.226 1.001  4000
beta.lftemp.humid   -0.881   0.376 -1.630 -1.130 -0.875 -0.632 -0.154 1.003  1000
beta.lftemp.lfarea  -0.046   0.239 -0.533 -0.198 -0.047  0.108  0.415 1.001  4000
beta.lftemp.lwr      0.374   0.289 -0.188  0.179  0.372  0.569  0.932 1.001  4000
beta.lftemp.sdi      0.125   0.162 -0.199  0.020  0.123  0.230  0.445 1.001  3100
beta.lftemp.sla      0.456   0.197  0.068  0.327  0.453  0.586  0.845 1.001  4000
beta.lftemp.spi     -0.582   0.200 -0.979 -0.712 -0.581 -0.447 -0.202 1.001  3000
beta.lftemp.temp     0.200   0.281 -0.373  0.017  0.211  0.396  0.736 1.003  1200
beta.photo.fluor     0.290   0.138  0.024  0.201  0.290  0.377  0.566 1.001  3300
beta.photo.humid     0.020   0.192 -0.364 -0.104  0.019  0.143  0.390 1.002  1500
beta.photo.lftemp   -0.389   0.146 -0.681 -0.485 -0.387 -0.294 -0.106 1.002  2100
beta.photo.temp     -0.681   0.186 -1.044 -0.804 -0.682 -0.561 -0.313 1.002  1800
beta.photo.trans     0.469   0.197  0.074  0.346  0.467  0.594  0.866 1.001  3200
beta.trans.humid     0.067   0.279 -0.471 -0.113  0.066  0.245  0.630 1.002  2100
beta.trans.lfarea    0.243   0.236 -0.231  0.093  0.240  0.392  0.698 1.002  2200
beta.trans.lwr       0.012   0.259 -0.505 -0.154  0.008  0.185  0.523 1.002  2500
beta.trans.sdi       0.407   0.157  0.098  0.306  0.404  0.508  0.719 1.001  4000
beta.trans.sla       0.039   0.179 -0.306 -0.080  0.039  0.159  0.392 1.001  3900
beta.trans.spi       0.341   0.183 -0.018  0.226  0.340  0.456  0.704 1.001  3900
beta.trans.temp     -0.111   0.211 -0.517 -0.252 -0.117  0.029  0.303 1.001  4000
mu.lf[1]             0.449   0.189  0.066  0.328  0.452  0.570  0.821 1.001  4000
mu.lf[2]            -0.605   0.109 -0.825 -0.673 -0.605 -0.534 -0.398 1.001  4000
mu.lf[3]            -0.604   0.134 -0.866 -0.695 -0.603 -0.519 -0.336 1.002  2200
mu.lf[4]            -0.324   0.165 -0.658 -0.431 -0.321 -0.215  0.002 1.001  2800
mu.lf[5]             0.660   0.160  0.338  0.558  0.658  0.764  0.984 1.001  4000
mu.ph[1,1]           1.147   0.371  0.455  0.903  1.140  1.374  1.908 1.001  3100
mu.ph[2,1]           0.635   0.392 -0.137  0.387  0.632  0.884  1.424 1.001  4000
mu.ph[3,1]          -0.583   0.323 -1.253 -0.785 -0.582 -0.370  0.041 1.001  3900
mu.ph[4,1]          -1.010   0.318 -1.647 -1.215 -1.003 -0.796 -0.404 1.001  4000
mu.ph[5,1]          -0.364   0.362 -1.046 -0.604 -0.374 -0.139  0.382 1.002  2600
mu.ph[6,1]          -1.130   0.355 -1.834 -1.356 -1.126 -0.907 -0.409 1.002  2400
mu.ph[7,1]           0.803   0.270  0.243  0.632  0.817  0.982  1.315 1.001  4000
mu.ph[8,1]           0.666   0.284  0.081  0.485  0.678  0.867  1.192 1.001  4000
mu.ph[9,1]          -0.189   0.256 -0.692 -0.357 -0.189 -0.028  0.339 1.003  1200
mu.ph[10,1]         -0.237   0.288 -0.785 -0.434 -0.239 -0.049  0.346 1.001  3100
mu.ph[11,1]          1.204   0.377  0.437  0.968  1.213  1.442  1.944 1.001  4000
mu.ph[12,1]          1.591   0.407  0.774  1.325  1.602  1.864  2.367 1.002  4000
mu.ph[13,1]         -1.023   0.373 -1.727 -1.265 -1.035 -0.786 -0.255 1.001  3000
mu.ph[14,1]         -0.857   0.317 -1.449 -1.069 -0.870 -0.655 -0.193 1.002  1900
mu.ph[15,1]          0.172   0.351 -0.530 -0.059  0.168  0.392  0.887 1.001  4000
mu.ph[16,1]          0.317   0.343 -0.334  0.091  0.310  0.535  1.004 1.001  4000
mu.ph[17,1]         -0.624   0.354 -1.317 -0.855 -0.632 -0.397  0.110 1.001  4000
mu.ph[18,1]         -1.134   0.347 -1.835 -1.356 -1.136 -0.910 -0.457 1.001  4000
mu.ph[19,1]          1.049   0.389  0.254  0.794  1.059  1.304  1.791 1.001  4000
mu.ph[20,1]          1.213   0.372  0.442  0.982  1.225  1.459  1.912 1.001  4000
mu.ph[21,1]          0.372   0.327 -0.279  0.159  0.380  0.597  1.004 1.001  4000
mu.ph[22,1]          1.018   0.329  0.374  0.805  1.019  1.229  1.680 1.001  2900
mu.ph[23,1]          0.599   0.347 -0.102  0.380  0.603  0.827  1.253 1.001  3500
mu.ph[24,1]          1.114   0.342  0.442  0.891  1.110  1.335  1.801 1.001  4000
mu.ph[25,1]          0.315   0.333 -0.362  0.109  0.318  0.527  0.967 1.001  3400
mu.ph[26,1]          0.771   0.335  0.083  0.556  0.774  0.982  1.448 1.001  3500
mu.ph[1,2]           1.487   0.530  0.449  1.146  1.477  1.833  2.531 1.001  4000
mu.ph[2,2]           0.239   0.582 -0.967 -0.132  0.250  0.611  1.371 1.002  2300
mu.ph[3,2]           0.628   0.463 -0.287  0.325  0.630  0.936  1.537 1.002  2600
mu.ph[4,2]           0.502   0.459 -0.423  0.194  0.516  0.810  1.378 1.001  2800
mu.ph[5,2]          -0.339   0.503 -1.326 -0.669 -0.359 -0.014  0.680 1.000  4000
mu.ph[6,2]          -0.817   0.501 -1.797 -1.146 -0.830 -0.489  0.198 1.001  4000
mu.ph[7,2]           1.352   0.374  0.568  1.113  1.364  1.596  2.052 1.001  3300
mu.ph[8,2]           1.214   0.368  0.450  0.980  1.218  1.458  1.923 1.001  4000
mu.ph[9,2]           0.425   0.363 -0.312  0.192  0.432  0.667  1.137 1.001  3300
mu.ph[10,2]          0.238   0.407 -0.584 -0.026  0.249  0.507  1.029 1.002  2400
mu.ph[11,2]          1.944   0.559  0.812  1.579  1.954  2.318  3.067 1.000  4000
mu.ph[12,2]          1.028   0.560 -0.103  0.662  1.030  1.393  2.151 1.001  4000
mu.ph[13,2]          1.066   0.536  0.010  0.716  1.061  1.408  2.124 1.001  4000
mu.ph[14,2]          0.205   0.434 -0.658 -0.078  0.213  0.489  1.077 1.000  4000
mu.ph[15,2]         -0.476   0.512 -1.462 -0.802 -0.482 -0.157  0.597 1.001  4000
mu.ph[16,2]         -1.177   0.502 -2.184 -1.506 -1.182 -0.862 -0.152 1.001  3700
mu.ph[17,2]         -1.323   0.507 -2.315 -1.650 -1.335 -0.996 -0.291 1.001  4000
mu.ph[18,2]         -1.779   0.504 -2.756 -2.108 -1.783 -1.451 -0.778 1.001  4000
mu.ph[19,2]         -0.364   0.552 -1.464 -0.723 -0.355  0.000  0.696 1.000  4000
mu.ph[20,2]         -1.289   0.513 -2.326 -1.617 -1.287 -0.947 -0.299 1.001  3500
mu.ph[21,2]          0.453   0.444 -0.440  0.163  0.460  0.745  1.325 1.000  4000
mu.ph[22,2]          1.270   0.477  0.327  0.959  1.271  1.578  2.223 1.001  4000
mu.ph[23,2]         -0.946   0.512 -1.960 -1.285 -0.952 -0.615  0.087 1.001  4000
mu.ph[24,2]         -0.019   0.507 -1.001 -0.363 -0.020  0.310  0.985 1.001  4000
mu.ph[25,2]          0.024   0.449 -0.837 -0.274  0.020  0.318  0.906 1.002  1600
mu.ph[26,2]         -0.474   0.456 -1.345 -0.785 -0.486 -0.177  0.446 1.001  3800
mu.ph[1,3]           0.714   0.364  0.009  0.480  0.704  0.950  1.452 1.001  4000
mu.ph[2,3]           0.383   0.391 -0.414  0.134  0.383  0.634  1.149 1.001  4000
mu.ph[3,3]           0.479   0.313 -0.159  0.276  0.487  0.682  1.080 1.001  4000
mu.ph[4,3]           0.638   0.305  0.032  0.442  0.644  0.835  1.242 1.001  3200
mu.ph[5,3]          -0.328   0.345 -1.008 -0.559 -0.332 -0.104  0.366 1.001  4000
mu.ph[6,3]          -0.391   0.334 -1.026 -0.616 -0.390 -0.172  0.274 1.001  4000
mu.ph[7,3]          -0.398   0.247 -0.892 -0.560 -0.396 -0.231  0.079 1.003  1200
mu.ph[8,3]          -0.061   0.251 -0.559 -0.224 -0.055  0.102  0.424 1.002  1800
mu.ph[9,3]          -0.299   0.245 -0.768 -0.461 -0.295 -0.133  0.183 1.002  2000
mu.ph[10,3]         -0.727   0.265 -1.249 -0.900 -0.721 -0.554 -0.199 1.002  1700
mu.ph[11,3]         -0.268   0.369 -0.988 -0.509 -0.263 -0.035  0.465 1.001  4000
mu.ph[12,3]         -0.502   0.391 -1.314 -0.748 -0.500 -0.250  0.248 1.002  1800
mu.ph[13,3]          0.793   0.359  0.080  0.561  0.791  1.027  1.523 1.001  4000
mu.ph[14,3]         -0.241   0.292 -0.831 -0.430 -0.243 -0.045  0.346 1.000  4000
mu.ph[15,3]         -0.005   0.341 -0.668 -0.227 -0.015  0.215  0.683 1.002  2000
mu.ph[16,3]         -1.028   0.327 -1.684 -1.241 -1.031 -0.826 -0.365 1.001  4000
mu.ph[17,3]         -0.828   0.343 -1.479 -1.053 -0.834 -0.608 -0.134 1.001  2800
mu.ph[18,3]         -0.943   0.327 -1.580 -1.156 -0.944 -0.730 -0.305 1.002  2400
mu.ph[19,3]          0.978   0.374  0.249  0.737  0.979  1.226  1.706 1.001  3000
mu.ph[20,3]         -0.673   0.352 -1.357 -0.911 -0.675 -0.442  0.016 1.002  1900
mu.ph[21,3]          0.255   0.311 -0.356  0.044  0.260  0.461  0.848 1.001  3800
mu.ph[22,3]          0.177   0.325 -0.477 -0.037  0.184  0.397  0.813 1.001  4000
mu.ph[23,3]         -0.475   0.344 -1.172 -0.696 -0.469 -0.257  0.207 1.000  4000
mu.ph[24,3]          0.497   0.334 -0.146  0.272  0.489  0.715  1.171 1.001  4000
mu.ph[25,3]         -0.834   0.329 -1.455 -1.047 -0.841 -0.622 -0.176 1.001  4000
mu.ph[26,3]         -1.529   0.317 -2.122 -1.745 -1.538 -1.328 -0.884 1.001  4000
mu.photo[1]         -0.434   0.233 -0.895 -0.580 -0.430 -0.289  0.028 1.001  4000
mu.photo[2]         -0.903   0.216 -1.325 -1.044 -0.905 -0.764 -0.481 1.001  4000
mu.photo[3]          1.412   0.194  1.025  1.284  1.412  1.540  1.806 1.001  4000
