Path analysis results at Kleinmond 

Inference for Bugs model at "physiology-path-analysis.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                   mu.vect sd.vect   2.5%    25%    50%     75%   97.5%  Rhat n.eff
beta.fluor.humid    -0.066   0.425 -0.936 -0.335 -0.052   0.211   0.741 1.002  2500
beta.fluor.lfarea   -0.124   0.215 -0.557 -0.261 -0.122   0.015   0.295 1.001  3700
beta.fluor.lwr       0.061   0.220 -0.378 -0.083  0.069   0.209   0.489 1.001  4000
beta.fluor.sdi       0.399   0.365 -0.303  0.148  0.399   0.641   1.123 1.001  4000
beta.fluor.sla       0.023   0.301 -0.574 -0.173  0.029   0.216   0.619 1.001  4000
beta.fluor.spi       0.158   0.198 -0.236  0.030  0.156   0.284   0.554 1.000  4000
beta.fluor.temp     -0.238   0.350 -0.938 -0.465 -0.235  -0.018   0.473 1.002  2600
beta.lftemp.humid    0.030   0.513 -1.003 -0.291  0.040   0.368   1.026 1.003  1200
beta.lftemp.lfarea  -0.133   0.272 -0.658 -0.312 -0.137   0.040   0.405 1.001  4000
beta.lftemp.lwr     -0.216   0.265 -0.758 -0.386 -0.212  -0.040   0.309 1.002  2000
beta.lftemp.sdi      0.382   0.453 -0.508  0.093  0.372   0.676   1.279 1.001  4000
beta.lftemp.sla     -0.304   0.374 -1.049 -0.541 -0.301  -0.064   0.439 1.002  2200
beta.lftemp.spi     -0.081   0.243 -0.565 -0.234 -0.077   0.077   0.399 1.002  2600
beta.lftemp.temp     0.303   0.483 -0.830  0.043  0.345   0.617   1.166 1.003  1300
beta.photo.fluor    -0.036   0.298 -0.624 -0.231 -0.034   0.156   0.554 1.001  4000
beta.photo.humid     0.014   0.293 -0.544 -0.179  0.015   0.205   0.607 1.001  4000
beta.photo.lftemp   -0.386   0.257 -0.898 -0.552 -0.386  -0.220   0.110 1.001  2800
beta.photo.temp      0.050   0.371 -0.675 -0.193  0.043   0.292   0.798 1.001  4000
beta.photo.trans     0.646   0.174  0.297  0.537  0.645   0.757   0.988 1.001  4000
beta.trans.humid    -0.764   0.636 -1.974 -1.186 -0.785  -0.380   0.543 1.002  2300
beta.trans.lfarea    0.343   0.297 -0.222  0.155  0.337   0.528   0.939 1.001  4000
beta.trans.lwr      -0.120   0.310 -0.753 -0.321 -0.119   0.085   0.478 1.001  4000
beta.trans.sdi      -0.231   0.512 -1.251 -0.572 -0.235   0.118   0.769 1.001  4000
