Path analysis results at De Hoop 

Inference for Bugs model at "physiology-path-analysis-with-wue.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                   mu.vect sd.vect   2.5%    25%    50%    75%   97.5%  Rhat n.eff
beta.cond.temp      -0.825   0.157 -1.145 -0.925 -0.823 -0.721  -0.527 1.002  1700
beta.cond.trans      0.715   0.204  0.315  0.583  0.718  0.846   1.113 1.001  4000
beta.fluor.humid    -0.978   0.396 -1.758 -1.240 -0.982 -0.718  -0.173 1.002  1500
beta.fluor.lfarea   -0.222   0.345 -0.875 -0.455 -0.225  0.003   0.477 1.002  2000
beta.fluor.lwr       0.531   0.369 -0.207  0.289  0.531  0.780   1.241 1.001  4000
beta.fluor.sdi       0.523   0.231  0.087  0.371  0.518  0.668   1.019 1.001  4000
beta.fluor.sla      -0.143   0.257 -0.655 -0.309 -0.138  0.023   0.359 1.002  1500
beta.fluor.spi      -0.220   0.266 -0.741 -0.394 -0.217 -0.050   0.306 1.001  4000
beta.fluor.temp     -0.354   0.296 -0.949 -0.545 -0.348 -0.162   0.232 1.002  1500
beta.lftemp.humid   -0.885   0.371 -1.659 -1.122 -0.872 -0.646  -0.185 1.003  1200
beta.lftemp.lfarea  -0.045   0.239 -0.535 -0.197 -0.041  0.110   0.422 1.001  4000
beta.lftemp.lwr      0.376   0.289 -0.186  0.188  0.375  0.561   0.954 1.001  2800
beta.lftemp.sdi      0.128   0.159 -0.180  0.025  0.127  0.230   0.441 1.001  3800
beta.lftemp.sla      0.450   0.196  0.050  0.325  0.450  0.577   0.833 1.002  1800
beta.lftemp.spi     -0.584   0.197 -0.979 -0.712 -0.587 -0.457  -0.207 1.001  3500
beta.lftemp.temp     0.196   0.282 -0.397  0.021  0.210  0.387   0.718 1.002  1700
beta.photo.cond      0.579   0.188  0.217  0.456  0.579  0.702   0.955 1.001  4000
beta.photo.fluor     0.310   0.115  0.081  0.236  0.310  0.384   0.538 1.000  4000
beta.photo.humid     0.217   0.155 -0.088  0.113  0.218  0.319   0.529 1.001  4000
beta.photo.lftemp   -0.049   0.206 -0.453 -0.182 -0.046  0.087   0.356 1.001  4000
beta.photo.temp     -0.260   0.166 -0.594 -0.366 -0.261 -0.153   0.067 1.001  4000
beta.trans.humid     0.083   0.277 -0.459 -0.093  0.085  0.263   0.618 1.001  2800
beta.trans.lfarea    0.240   0.235 -0.227  0.088  0.242  0.391   0.712 1.002  1600
beta.trans.lwr       0.018   0.263 -0.497 -0.154  0.013  0.192   0.545 1.001  4000
beta.trans.sdi       0.400   0.154  0.109  0.298  0.397  0.501   0.707 1.001  4000
beta.trans.sla       0.039   0.183 -0.326 -0.080  0.038  0.158   0.405 1.002  1800
beta.trans.spi       0.346   0.184 -0.021  0.229  0.347  0.467   0.694 1.002  1600
beta.trans.temp     -0.097   0.208 -0.502 -0.235 -0.096  0.037   0.318 1.001  4000
beta.wue.cond       -1.539   0.117 -1.773 -1.614 -1.540 -1.466  -1.310 1.001  4000
