Path analysis results at Kleinmond 

Inference for Bugs model at "physiology-path-analysis-with-wue.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                   mu.vect sd.vect   2.5%     25%     50%     75%   97.5%  Rhat n.eff
beta.cond.temp      -0.525   0.120 -0.767  -0.602  -0.526  -0.449  -0.290 1.001  4000
beta.cond.trans      0.509   0.095  0.320   0.447   0.509   0.571   0.695 1.001  3300
beta.fluor.humid    -0.049   0.410 -0.873  -0.314  -0.038   0.221   0.743 1.001  3300
beta.fluor.lfarea   -0.126   0.208 -0.532  -0.263  -0.128   0.013   0.292 1.001  4000
beta.fluor.lwr       0.062   0.212 -0.366  -0.076   0.063   0.202   0.474 1.001  4000
beta.fluor.sdi       0.394   0.360 -0.314   0.151   0.401   0.632   1.122 1.001  4000
beta.fluor.sla       0.021   0.300 -0.614  -0.165   0.029   0.214   0.600 1.001  4000
beta.fluor.spi       0.168   0.195 -0.205   0.044   0.167   0.298   0.551 1.001  2700
beta.fluor.temp     -0.226   0.344 -0.909  -0.445  -0.231  -0.012   0.463 1.001  4000
beta.lftemp.humid    0.039   0.524 -1.063  -0.282   0.045   0.389   1.016 1.004   890
beta.lftemp.lfarea  -0.142   0.279 -0.707  -0.321  -0.141   0.040   0.411 1.001  3300
beta.lftemp.lwr     -0.211   0.267 -0.738  -0.387  -0.216  -0.034   0.315 1.001  4000
beta.lftemp.sdi      0.377   0.458 -0.484   0.075   0.371   0.670   1.298 1.002  2300
beta.lftemp.sla     -0.297   0.373 -1.028  -0.543  -0.296  -0.056   0.420 1.003  1200
beta.lftemp.spi     -0.085   0.243 -0.570  -0.247  -0.088   0.077   0.399 1.002  1900
beta.lftemp.temp     0.298   0.498 -0.865   0.025   0.348   0.624   1.158 1.005   860
beta.photo.cond      0.924   0.272  0.385   0.746   0.923   1.102   1.463 1.001  3100
beta.photo.fluor    -0.188   0.317 -0.817  -0.393  -0.186   0.026   0.417 1.001  2900
beta.photo.humid    -0.276   0.280 -0.817  -0.458  -0.278  -0.096   0.284 1.002  2100
beta.photo.lftemp   -0.172   0.254 -0.688  -0.337  -0.170  -0.007   0.322 1.001  4000
beta.photo.temp      0.169   0.409 -0.640  -0.100   0.162   0.430   0.981 1.002  1900
beta.trans.humid    -0.771   0.650 -2.015  -1.186  -0.806  -0.377   0.601 1.002  1600
beta.trans.lfarea    0.338   0.298 -0.254   0.143   0.339   0.531   0.924 1.002  2700
beta.trans.lwr      -0.115   0.312 -0.718  -0.323  -0.118   0.086   0.510 1.001  3000
beta.trans.sdi      -0.227   0.513 -1.248  -0.550  -0.218   0.100   0.770 1.002  2500
beta.trans.sla       0.463   0.422 -0.366   0.191   0.461   0.732   1.320 1.001  3100
beta.trans.spi      -0.043   0.276 -0.611  -0.219  -0.044   0.140   0.501 1.001  4000
beta.trans.temp     -0.489   0.553 -1.618  -0.831  -0.480  -0.136   0.588 1.003  1200
beta.wue.cond       -1.538   0.125 -1.787  -1.617  -1.537  -1.455  -1.296 1.001  4000
beta.wue.photo       0.949   0.106  0.735   0.880   0.949   1.018   1.155 1.001  3300
mu.lf[1]            -0.563   0.163 -0.873  -0.672  -0.563  -0.455  -0.242 1.001  4000
mu.lf[2]             0.753   0.206  0.355   0.613   0.750   0.890   1.152 1.002  1800
mu.lf[3]             0.741   0.183  0.384   0.619   0.739   0.859   1.108 1.001  4000
mu.lf[4]             0.397   0.234 -0.063   0.249   0.395   0.546   0.866 1.001  4000
mu.lf[5]            -0.818   0.103 -1.016  -0.887  -0.818  -0.751  -0.618 1.001  2700
mu.ph[1,1]          -0.833   0.545 -1.931  -1.176  -0.840  -0.492   0.273 1.001  4000
mu.ph[2,1]           0.013   0.558 -1.089  -0.351   0.017   0.369   1.136 1.001  4000
mu.ph[3,1]          -0.229   0.553 -1.330  -0.581  -0.212   0.133   0.829 1.001  3000
mu.ph[4,1]          -0.265   0.550 -1.372  -0.611  -0.265   0.086   0.834 1.002  2300
mu.ph[5,1]           0.448   0.469 -0.472   0.144   0.451   0.755   1.375 1.001  3800
mu.ph[6,1]           0.194   0.480 -0.744  -0.121   0.196   0.508   1.153 1.001  4000
mu.ph[7,1]           0.265   0.616 -0.913  -0.132   0.246   0.653   1.481 1.001  3400
mu.ph[8,1]          -0.100   0.491 -1.078  -0.415  -0.098   0.233   0.858 1.002  1800
mu.ph[9,1]          -0.290   0.458 -1.211  -0.587  -0.282   0.009   0.603 1.001  4000
mu.ph[10,1]          0.403   0.508 -0.640   0.080   0.418   0.734   1.358 1.001  4000
mu.ph[11,1]          0.438   0.427 -0.412   0.170   0.439   0.718   1.267 1.001  4000
mu.ph[12,1]          0.511   0.513 -0.533   0.176   0.523   0.854   1.502 1.001  4000
mu.ph[13,1]          0.930   0.511 -0.094   0.589   0.945   1.280   1.892 1.001  3400
mu.ph[14,1]         -1.037   0.505 -2.028  -1.359  -1.042  -0.715  -0.031 1.003  1200
mu.ph[15,1]         -1.387   0.534 -2.427  -1.741  -1.378  -1.043  -0.354 1.001  3500
mu.ph[16,1]         -1.647   0.495 -2.600  -1.982  -1.644  -1.323  -0.661 1.001  3900
mu.ph[17,1]         -2.060   0.535 -3.096  -2.415  -2.060  -1.710  -1.012 1.002  2400
mu.ph[18,1]         -0.068   0.603 -1.244  -0.450  -0.064   0.311   1.145 1.001  4000
mu.ph[19,1]         -0.706   0.533 -1.760  -1.048  -0.715  -0.353   0.343 1.002  2600
mu.ph[20,1]         -0.955   0.475 -1.862  -1.267  -0.965  -0.643   0.011 1.001  4000
mu.ph[21,1]         -0.800   0.614 -1.974  -1.204  -0.808  -0.400   0.432 1.001  4000
mu.ph[1,2]           0.313   0.428 -0.544   0.039   0.309   0.585   1.173 1.002  2300
mu.ph[2,2]           0.107   0.449 -0.769  -0.179   0.105   0.393   1.011 1.002  2300
mu.ph[3,2]          -0.921   0.439 -1.781  -1.205  -0.924  -0.629  -0.045 1.000  4000
