Path analysis results at De Hoop 
 physiology-path-analysis-model-1.txt 

Inference for Bugs model at "physiology-path-analysis-model-1.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                   mu.vect sd.vect    2.5%     25%     50%     75%  97.5%  Rhat n.eff
beta.cond.humid      0.293   0.304  -0.327   0.093   0.296   0.498  0.883 1.001  4000
beta.cond.lfarea     0.275   0.233  -0.194   0.124   0.283   0.430  0.725 1.002  2400
beta.cond.lwr       -0.420   0.254  -0.908  -0.589  -0.428  -0.253  0.096 1.002  1800
beta.cond.sdi        0.302   0.157   0.001   0.197   0.298   0.403  0.620 1.001  4000
beta.cond.sla       -0.213   0.180  -0.563  -0.333  -0.217  -0.096  0.148 1.001  4000
beta.cond.spi        0.552   0.186   0.176   0.432   0.550   0.673  0.928 1.001  4000
beta.cond.temp      -0.936   0.223  -1.383  -1.078  -0.936  -0.795 -0.511 1.001  4000
beta.fluor.humid    -0.941   0.402  -1.723  -1.211  -0.938  -0.681 -0.149 1.001  4000
beta.fluor.lfarea   -0.223   0.340  -0.886  -0.455  -0.223   0.003  0.445 1.001  4000
beta.fluor.lwr       0.550   0.370  -0.164   0.302   0.539   0.792  1.312 1.002  2500
beta.fluor.sdi       0.526   0.231   0.087   0.370   0.525   0.681  0.985 1.001  4000
beta.fluor.sla      -0.169   0.255  -0.682  -0.330  -0.164   0.005  0.327 1.001  4000
beta.fluor.spi      -0.235   0.268  -0.756  -0.417  -0.235  -0.062  0.300 1.001  3900
beta.fluor.temp     -0.348   0.298  -0.927  -0.546  -0.345  -0.151  0.253 1.001  2900
beta.lftemp.humid   -0.734   0.364  -1.466  -0.965  -0.734  -0.500 -0.018 1.001  4000
beta.lftemp.lfarea  -0.056   0.250  -0.553  -0.212  -0.052   0.106  0.422 1.002  1800
beta.lftemp.lwr      0.421   0.281  -0.124   0.236   0.413   0.611  0.979 1.002  2000
beta.lftemp.sdi      0.134   0.167  -0.186   0.020   0.132   0.243  0.472 1.002  1900
beta.lftemp.sla      0.431   0.196   0.035   0.306   0.429   0.555  0.828 1.001  3400
beta.lftemp.spi     -0.632   0.206  -1.045  -0.767  -0.633  -0.496 -0.225 1.001  3000
beta.lftemp.temp     0.278   0.269  -0.272   0.103   0.284   0.464  0.783 1.002  2400
beta.photo.cond      1.344   0.328   0.692   1.129   1.344   1.562  1.989 1.001  4000
beta.photo.fluor     0.106   0.113  -0.113   0.031   0.108   0.182  0.326 1.001  2800
beta.photo.humid     0.066   0.162  -0.260  -0.035   0.068   0.171  0.381 1.001  2700
