Path analysis results at Kleinmond 
 physiology-path-analysis-model-1.txt 

Inference for Bugs model at "physiology-path-analysis-model-1.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                   mu.vect sd.vect    2.5%    25%    50%    75%  97.5%  Rhat n.eff
beta.cond.humid     -0.471   0.420  -1.304 -0.747 -0.464 -0.201  0.368 1.002  1500
beta.cond.lfarea     0.342   0.229  -0.104  0.193  0.340  0.496  0.788 1.002  1600
beta.cond.lwr       -0.139   0.215  -0.572 -0.280 -0.138  0.001  0.278 1.002  2600
beta.cond.sdi        0.115   0.372  -0.644 -0.125  0.138  0.356  0.835 1.005   690
beta.cond.sla        0.369   0.318  -0.240  0.155  0.365  0.567  1.034 1.004   960
beta.cond.spi       -0.010   0.206  -0.446 -0.140 -0.007  0.124  0.389 1.001  3100
beta.cond.temp      -0.590   0.359  -1.318 -0.807 -0.592 -0.367  0.128 1.003  1100
beta.fluor.humid    -0.058   0.431  -0.966 -0.328 -0.046  0.230  0.748 1.001  3100
beta.fluor.lfarea   -0.133   0.210  -0.567 -0.267 -0.129  0.009  0.270 1.001  3100
beta.fluor.lwr       0.068   0.212  -0.345 -0.070  0.069  0.207  0.485 1.001  4000
beta.fluor.sdi       0.394   0.352  -0.286  0.162  0.396  0.622  1.107 1.002  2400
beta.fluor.sla       0.047   0.297  -0.530 -0.152  0.046  0.247  0.627 1.002  2300
beta.fluor.spi       0.153   0.197  -0.239  0.026  0.152  0.280  0.540 1.001  4000
beta.fluor.temp     -0.224   0.358  -0.919 -0.446 -0.230  0.003  0.486 1.001  3300
beta.lftemp.humid    0.055   0.508  -0.953 -0.272  0.062  0.398  1.025 1.001  2800
beta.lftemp.lfarea  -0.133   0.270  -0.679 -0.302 -0.131  0.045  0.393 1.001  3900
beta.lftemp.lwr     -0.201   0.259  -0.715 -0.370 -0.200 -0.034  0.318 1.002  1900
beta.lftemp.sdi      0.375   0.442  -0.499  0.086  0.377  0.655  1.233 1.001  4000
beta.lftemp.sla     -0.298   0.371  -1.031 -0.536 -0.300 -0.051  0.419 1.001  4000
