Path analysis results at De Hoop 
 physiology-path-analysis-model-1.txt 

Inference for Bugs model at "physiology-path-analysis-model-1.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                     mu.vect sd.vect    2.5%    25%    50%    75%  97.5%  Rhat n.eff
beta.cond.humid        0.361   0.304  -0.233  0.167  0.361  0.558  0.973 1.001  3000
beta.cond.lfarea       0.282   0.227  -0.163  0.131  0.283  0.434  0.741 1.001  4000
beta.cond.lwr         -0.408   0.254  -0.902 -0.578 -0.412 -0.238  0.096 1.001  4000
beta.cond.sdi          0.316   0.153   0.009  0.217  0.316  0.413  0.622 1.001  4000
beta.cond.sla         -0.228   0.181  -0.583 -0.349 -0.227 -0.108  0.131 1.002  1800
beta.cond.spi          0.516   0.182   0.158  0.394  0.515  0.636  0.872 1.001  4000
beta.cond.temp        -0.904   0.226  -1.338 -1.049 -0.910 -0.761 -0.437 1.001  2800
beta.fluor.humid      -0.993   0.396  -1.767 -1.258 -0.990 -0.742 -0.201 1.001  4000
beta.fluor.lfarea     -0.227   0.342  -0.866 -0.459 -0.238 -0.007  0.475 1.001  3600
beta.fluor.lwr         0.536   0.361  -0.172  0.301  0.531  0.773  1.236 1.001  4000
beta.fluor.sdi         0.519   0.231   0.077  0.363  0.513  0.666  1.002 1.001  3600
beta.fluor.sla        -0.148   0.258  -0.649 -0.316 -0.148  0.018  0.359 1.002  1900
beta.fluor.spi        -0.216   0.266  -0.746 -0.389 -0.213 -0.043  0.319 1.001  4000
beta.fluor.temp       -0.367   0.294  -0.943 -0.558 -0.367 -0.179  0.225 1.001  3700
beta.lftemp.humid     -0.824   0.380  -1.566 -1.078 -0.822 -0.579 -0.095 1.006   570
beta.lftemp.lfarea    -0.050   0.243  -0.529 -0.210 -0.051  0.109  0.439 1.001  4000
beta.lftemp.lwr        0.390   0.284  -0.154  0.202  0.389  0.578  0.949 1.001  3100
beta.lftemp.sdi        0.120   0.162  -0.201  0.014  0.116  0.225  0.439 1.002  2300
beta.lftemp.sla        0.446   0.192   0.062  0.321  0.447  0.574  0.819 1.002  2300
beta.lftemp.spi       -0.593   0.200  -0.982 -0.726 -0.592 -0.460 -0.200 1.002  2600
beta.lftemp.temp       0.235   0.282  -0.328  0.054  0.244  0.427  0.775 1.004   860
beta.photo.cond        0.503   0.301  -0.108  0.311  0.505  0.701  1.083 1.002  1600
beta.photo.fluor       0.291   0.132   0.037  0.204  0.291  0.377  0.554 1.001  4000
beta.photo.humid       0.172   0.207  -0.240  0.037  0.171  0.306  0.570 1.001  3600
beta.photo.lftemp     -0.087   0.235  -0.573 -0.235 -0.083  0.065  0.360 1.001  3600
beta.photo.trans       0.099   0.293  -0.484 -0.086  0.099  0.289  0.685 1.003  1400
beta.trans.humid       0.018   0.280  -0.552 -0.164  0.019  0.203  0.566 1.002  2400
beta.trans.lfarea      0.238   0.226  -0.206  0.092  0.236  0.388  0.686 1.001  4000
beta.trans.lwr        -0.008   0.259  -0.533 -0.175 -0.006  0.159  0.506 1.001  4000
beta.trans.sdi         0.408   0.152   0.108  0.310  0.407  0.508  0.710 1.001  4000
beta.trans.sla         0.045   0.175  -0.294 -0.072  0.044  0.161  0.394 1.001  4000
beta.trans.spi         0.356   0.181  -0.011  0.241  0.356  0.470  0.717 1.002  1700
beta.trans.temp       -0.138   0.210  -0.560 -0.275 -0.136 -0.001  0.273 1.001  3200
mu.lf[1]               0.451   0.189   0.080  0.325  0.449  0.576  0.815 1.001  3700
mu.lf[2]              -0.611   0.108  -0.822 -0.682 -0.614 -0.542 -0.395 1.002  1700
mu.lf[3]              -0.600   0.135  -0.868 -0.688 -0.602 -0.511 -0.330 1.001  4000
mu.lf[4]              -0.318   0.166  -0.642 -0.429 -0.318 -0.211  0.003 1.001  4000
mu.lf[5]               0.659   0.161   0.326  0.553  0.663  0.766  0.968 1.002  1400
mu.ph[1,1]             1.163   0.387   0.435  0.910  1.159  1.413  1.941 1.002  2500
