Path analysis results at De Hoop 
 physiology-path-analysis-model-1.txt 

Inference for Bugs model at "physiology-path-analysis-model-1.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                     mu.vect sd.vect    2.5%     25%    50%    75%  97.5%  Rhat n.eff
beta.cond.humid        0.357   0.309  -0.241   0.143  0.358  0.561  0.978 1.001  4000
beta.cond.lfarea       0.278   0.227  -0.161   0.127  0.278  0.429  0.715 1.002  2700
beta.cond.lwr         -0.409   0.259  -0.911  -0.587 -0.412 -0.236  0.105 1.001  4000
beta.cond.sdi          0.317   0.151   0.019   0.220  0.317  0.415  0.617 1.001  4000
beta.cond.sla         -0.232   0.180  -0.579  -0.352 -0.233 -0.113  0.123 1.001  3900
beta.cond.spi          0.518   0.182   0.158   0.394  0.518  0.642  0.871 1.001  4000
beta.cond.temp        -0.910   0.232  -1.365  -1.059 -0.912 -0.763 -0.440 1.001  4000
beta.fluor.humid      -0.982   0.388  -1.729  -1.242 -0.979 -0.729 -0.213 1.001  4000
beta.fluor.lfarea     -0.234   0.343  -0.895  -0.460 -0.237 -0.007  0.447 1.001  4000
beta.fluor.lwr         0.542   0.368  -0.179   0.301  0.539  0.777  1.280 1.001  4000
beta.fluor.sdi         0.514   0.239   0.063   0.349  0.510  0.669  0.999 1.002  1500
beta.fluor.sla        -0.149   0.253  -0.658  -0.310 -0.147  0.014  0.347 1.001  4000
beta.fluor.spi        -0.214   0.273  -0.758  -0.388 -0.207 -0.034  0.317 1.001  4000
beta.fluor.temp       -0.361   0.294  -0.935  -0.552 -0.360 -0.165  0.223 1.001  4000
beta.lftemp.humid     -0.832   0.378  -1.613  -1.076 -0.828 -0.569 -0.124 1.003  1300
beta.lftemp.lfarea    -0.053   0.241  -0.550  -0.209 -0.046  0.112  0.404 1.001  3700
beta.lftemp.lwr        0.396   0.283  -0.162   0.207  0.395  0.574  0.962 1.002  2600
beta.lftemp.sdi        0.125   0.165  -0.198   0.013  0.126  0.232  0.452 1.002  1900
beta.lftemp.sla        0.447   0.195   0.061   0.315  0.446  0.578  0.829 1.002  2600
beta.lftemp.spi       -0.597   0.200  -0.998  -0.727 -0.596 -0.463 -0.222 1.001  2900
beta.lftemp.temp       0.230   0.281  -0.361   0.058  0.242  0.420  0.760 1.003  1300
beta.photo.cond        0.509   0.307  -0.101   0.304  0.508  0.717  1.113 1.001  4000
beta.photo.fluor       0.294   0.132   0.034   0.208  0.293  0.380  0.557 1.001  4000
beta.photo.humid       0.180   0.209  -0.235   0.047  0.180  0.315  0.602 1.001  4000
beta.photo.lftemp     -0.084   0.237  -0.549  -0.235 -0.084  0.065  0.389 1.001  4000
beta.photo.trans       0.089   0.296  -0.495  -0.108  0.089  0.287  0.661 1.001  4000
beta.trans.humid       0.017   0.282  -0.543  -0.165  0.020  0.201  0.566 1.002  2000
beta.trans.lfarea      0.234   0.226  -0.213   0.083  0.231  0.383  0.672 1.001  4000
beta.trans.lwr        -0.003   0.258  -0.519  -0.168  0.000  0.166  0.512 1.002  2600
beta.trans.sdi         0.404   0.153   0.110   0.303  0.402  0.502  0.705 1.001  4000
beta.trans.sla         0.041   0.176  -0.310  -0.074  0.041  0.154  0.394 1.000  4000
beta.trans.spi         0.360   0.181   0.000   0.243  0.362  0.479  0.720 1.001  4000
beta.trans.temp       -0.135   0.210  -0.562  -0.271 -0.133  0.004  0.268 1.002  1700
mu.lf[1]               0.448   0.191   0.069   0.319  0.448  0.574  0.824 1.001  3800
mu.lf[2]              -0.612   0.108  -0.825  -0.683 -0.612 -0.541 -0.398 1.001  4000
mu.lf[3]              -0.600   0.133  -0.860  -0.687 -0.600 -0.512 -0.343 1.001  4000
mu.lf[4]              -0.323   0.168  -0.654  -0.431 -0.322 -0.219  0.011 1.002  2500
mu.lf[5]               0.655   0.162   0.331   0.546  0.655  0.760  0.983 1.001  4000
mu.ph[1,1]             1.185   0.380   0.478   0.926  1.172  1.426  1.945 1.002  2100
mu.ph[2,1]             0.650   0.398  -0.112   0.392  0.645  0.898  1.456 1.001  2900
mu.ph[3,1]            -0.585   0.324  -1.234  -0.793 -0.583 -0.376  0.075 1.002  1800
mu.ph[4,1]            -1.008   0.323  -1.660  -1.215 -1.006 -0.806 -0.376 1.001  3100
mu.ph[5,1]            -0.333   0.368  -1.028  -0.577 -0.361 -0.102  0.449 1.001  4000
mu.ph[6,1]            -1.105   0.344  -1.774  -1.337 -1.108 -0.876 -0.426 1.001  4000
mu.ph[7,1]             0.773   0.273   0.209   0.607  0.781  0.955  1.286 1.002  2000
mu.ph[8,1]             0.622   0.289   0.023   0.436  0.632  0.819  1.156 1.002  2200
mu.ph[9,1]            -0.188   0.258  -0.683  -0.365 -0.194 -0.016  0.331 1.001  3700
mu.ph[10,1]           -0.222   0.290  -0.777  -0.418 -0.231 -0.031  0.375 1.001  4000
mu.ph[11,1]            1.200   0.378   0.450   0.953  1.200  1.450  1.954 1.001  3000
mu.ph[12,1]            1.581   0.401   0.761   1.328  1.593  1.840  2.342 1.002  2300
mu.ph[13,1]           -0.987   0.377  -1.720  -1.228 -0.999 -0.757 -0.207 1.001  2700
mu.ph[14,1]           -0.826   0.315  -1.413  -1.033 -0.840 -0.625 -0.176 1.001  3500
mu.ph[15,1]            0.184   0.355  -0.498  -0.055  0.178  0.401  0.923 1.002  2600
mu.ph[16,1]            0.325   0.345  -0.338   0.092  0.318  0.544  1.033 1.002  2400
mu.ph[17,1]           -0.613   0.347  -1.294  -0.838 -0.622 -0.401  0.109 1.001  4000
mu.ph[18,1]           -1.146   0.338  -1.825  -1.363 -1.145 -0.927 -0.464 1.001  4000
mu.ph[19,1]            0.984   0.409   0.150   0.729  1.001  1.260  1.759 1.001  4000
mu.ph[20,1]            1.181   0.378   0.401   0.943  1.193  1.433  1.894 1.001  3600
mu.ph[21,1]            0.334   0.330  -0.343   0.115  0.346  0.563  0.965 1.002  1900
mu.ph[22,1]            1.001   0.336   0.327   0.790  1.002  1.225  1.637 1.002  1500
mu.ph[23,1]            0.593   0.346  -0.135   0.384  0.598  0.819  1.246 1.001  4000
mu.ph[24,1]            1.113   0.355   0.422   0.888  1.115  1.340  1.841 1.001  4000
mu.ph[25,1]            0.266   0.349  -0.461   0.051  0.280  0.501  0.910 1.001  3600
mu.ph[26,1]            0.727   0.345   0.024   0.515  0.744  0.951  1.365 1.001  4000
mu.ph[1,2]             1.487   0.527   0.475   1.148  1.478  1.833  2.516 1.001  2700
mu.ph[2,2]             0.242   0.588  -0.939  -0.133  0.254  0.630  1.360 1.001  2800
mu.ph[3,2]             0.626   0.459  -0.288   0.322  0.644  0.922  1.501 1.001  4000
mu.ph[4,2]             0.507   0.452  -0.421   0.211  0.507  0.804  1.370 1.001  4000
mu.ph[5,2]            -0.352   0.506  -1.354  -0.678 -0.352 -0.032  0.650 1.001  3500
mu.ph[6,2]            -0.821   0.496  -1.764  -1.161 -0.827 -0.505  0.170 1.001  4000
mu.ph[7,2]             1.349   0.380   0.557   1.106  1.362  1.600  2.059 1.001  4000
mu.ph[8,2]             1.211   0.379   0.429   0.966  1.213  1.471  1.927 1.001  4000
mu.ph[9,2]             0.426   0.366  -0.309   0.188  0.437  0.660  1.135 1.001  3500
mu.ph[10,2]            0.242   0.411  -0.588  -0.030  0.247  0.520  1.025 1.003  1400
mu.ph[11,2]            1.933   0.554   0.795   1.572  1.954  2.302  2.974 1.000  4000
mu.ph[12,2]            1.011   0.566  -0.120   0.655  1.014  1.389  2.119 1.001  3500
mu.ph[13,2]            1.072   0.535   0.019   0.729  1.054  1.422  2.146 1.001  4000
mu.ph[14,2]            0.206   0.429  -0.643  -0.088  0.208  0.501  1.019 1.001  4000
mu.ph[15,2]           -0.472   0.515  -1.497  -0.809 -0.476 -0.134  0.563 1.001  4000
mu.ph[16,2]           -1.178   0.511  -2.168  -1.506 -1.194 -0.859 -0.153 1.001  4000
mu.ph[17,2]           -1.326   0.512  -2.301  -1.663 -1.323 -1.002 -0.302 1.001  4000
mu.ph[18,2]           -1.779   0.512  -2.771  -2.108 -1.783 -1.454 -0.754 1.001  4000
mu.ph[19,2]           -0.365   0.562  -1.466  -0.732 -0.374 -0.006  0.820 1.001  4000
mu.ph[20,2]           -1.289   0.521  -2.302  -1.630 -1.285 -0.943 -0.299 1.001  3900
mu.ph[21,2]            0.459   0.465  -0.471   0.146  0.455  0.774  1.361 1.001  4000
mu.ph[22,2]            1.269   0.493   0.310   0.949  1.276  1.591  2.240 1.001  3500
mu.ph[23,2]           -0.949   0.512  -1.963  -1.286 -0.937 -0.614  0.036 1.001  4000
mu.ph[24,2]           -0.026   0.504  -1.039  -0.356 -0.026  0.315  0.948 1.001  4000
mu.ph[25,2]            0.048   0.467  -0.848  -0.264  0.042  0.360  0.986 1.001  4000
mu.ph[26,2]           -0.457   0.477  -1.402  -0.767 -0.468 -0.148  0.499 1.001  3300
mu.ph[1,3]             0.660   0.362  -0.073   0.433  0.665  0.892  1.384 1.002  2300
mu.ph[2,3]             0.356   0.386  -0.445   0.112  0.367  0.606  1.088 1.002  2400
mu.ph[3,3]             0.480   0.316  -0.154   0.284  0.488  0.692  1.076 1.001  4000
mu.ph[4,3]             0.634   0.306   0.027   0.441  0.640  0.842  1.210 1.001  4000
mu.ph[5,3]            -0.364   0.339  -1.024  -0.597 -0.362 -0.146  0.332 1.001  3800
mu.ph[6,3]            -0.431   0.332  -1.075  -0.649 -0.433 -0.216  0.227 1.001  4000
mu.ph[7,3]            -0.375   0.255  -0.882  -0.543 -0.374 -0.201  0.123 1.001  4000
mu.ph[8,3]            -0.029   0.263  -0.552  -0.198 -0.030  0.149  0.485 1.001  4000
mu.ph[9,3]            -0.307   0.245  -0.802  -0.465 -0.303 -0.146  0.177 1.001  2800
mu.ph[10,3]           -0.747   0.263  -1.281  -0.910 -0.746 -0.578 -0.229 1.001  4000
mu.ph[11,3]           -0.252   0.362  -0.952  -0.491 -0.249 -0.022  0.469 1.001  3300
mu.ph[12,3]           -0.514   0.381  -1.278  -0.750 -0.515 -0.266  0.231 1.001  4000
mu.ph[13,3]            0.747   0.353   0.063   0.517  0.741  0.978  1.459 1.001  3300
mu.ph[14,3]           -0.269   0.284  -0.826  -0.454 -0.265 -0.086  0.271 1.001  4000
mu.ph[15,3]            0.010   0.344  -0.650  -0.212  0.002  0.229  0.718 1.001  3900
mu.ph[16,3]           -1.004   0.331  -1.661  -1.220 -1.009 -0.797 -0.310 1.002  1900
mu.ph[17,3]           -0.834   0.342  -1.500  -1.051 -0.840 -0.624 -0.128 1.001  4000
mu.ph[18,3]           -0.921   0.333  -1.561  -1.144 -0.925 -0.697 -0.262 1.001  4000
mu.ph[19,3]            1.037   0.372   0.290   0.792  1.036  1.281  1.768 1.001  4000
mu.ph[20,3]           -0.652   0.360  -1.372  -0.881 -0.652 -0.415  0.052 1.001  4000
mu.ph[21,3]            0.306   0.309  -0.309   0.105  0.301  0.507  0.923 1.001  4000
mu.ph[22,3]            0.209   0.330  -0.436  -0.006  0.203  0.426  0.867 1.001  4000
mu.ph[23,3]           -0.483   0.344  -1.173  -0.699 -0.476 -0.258  0.185 1.001  4000
mu.ph[24,3]            0.474   0.348  -0.223   0.251  0.476  0.695  1.164 1.001  4000
mu.ph[25,3]           -0.769   0.330  -1.390  -0.993 -0.772 -0.561 -0.090 1.001  4000
mu.ph[26,3]           -1.479   0.319  -2.086  -1.692 -1.486 -1.265 -0.830 1.001  4000
