Path analysis results at De Hoop 
 physiology-path-analysis-model-2.txt 

Inference for Bugs model at "physiology-path-analysis-model-2.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                   mu.vect sd.vect    2.5%     25%    50%    75%  97.5%  Rhat n.eff
beta.cond.humid      0.366   0.299  -0.224   0.174  0.364  0.563  0.967 1.001  3500
beta.cond.lfarea     0.281   0.226  -0.161   0.135  0.278  0.430  0.730 1.001  4000
beta.cond.lwr       -0.410   0.254  -0.911  -0.571 -0.411 -0.242  0.089 1.001  4000
beta.cond.sdi        0.318   0.151   0.030   0.217  0.319  0.416  0.610 1.001  4000
beta.cond.sla       -0.227   0.180  -0.576  -0.348 -0.227 -0.108  0.126 1.001  4000
beta.cond.spi        0.513   0.187   0.151   0.386  0.516  0.636  0.887 1.001  4000
beta.cond.temp      -0.902   0.222  -1.325  -1.047 -0.903 -0.760 -0.440 1.001  2800
beta.fluor.humid    -0.984   0.392  -1.777  -1.240 -0.985 -0.727 -0.199 1.001  4000
beta.fluor.lfarea   -0.224   0.342  -0.858  -0.450 -0.225 -0.018  0.472 1.002  2300
beta.fluor.lwr       0.534   0.369  -0.184   0.291  0.533  0.779  1.264 1.001  4000
beta.fluor.sdi       0.517   0.234   0.066   0.358  0.517  0.670  0.980 1.001  3000
beta.fluor.sla      -0.154   0.257  -0.673  -0.325 -0.150  0.011  0.371 1.001  4000
beta.fluor.spi      -0.216   0.273  -0.761  -0.393 -0.215 -0.039  0.324 1.001  4000
beta.fluor.temp     -0.365   0.292  -0.954  -0.553 -0.362 -0.176  0.211 1.001  3000
beta.lftemp.humid   -0.829   0.388  -1.619  -1.085 -0.812 -0.572 -0.077 1.001  4000
beta.lftemp.lfarea  -0.048   0.245  -0.544  -0.203 -0.041  0.108  0.436 1.002  1500
beta.lftemp.lwr      0.395   0.283  -0.150   0.203  0.394  0.581  0.969 1.001  4000
beta.lftemp.sdi      0.117   0.161  -0.196   0.011  0.117  0.222  0.440 1.000  4000
beta.lftemp.sla      0.447   0.198   0.049   0.317  0.449  0.578  0.836 1.002  2800
