Path analysis results at Kleinmond 
 physiology-path-analysis-model-2.txt 

Inference for Bugs model at "physiology-path-analysis-model-2.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                   mu.vect sd.vect   2.5%    25%    50%    75%   97.5%  Rhat n.eff
beta.cond.humid     -0.517   0.414 -1.362 -0.777 -0.510 -0.242   0.276 1.001  3200
beta.cond.lfarea     0.316   0.227 -0.134  0.171  0.315  0.463   0.761 1.002  2200
beta.cond.lwr       -0.152   0.219 -0.591 -0.290 -0.152 -0.011   0.279 1.001  4000
beta.cond.sdi        0.121   0.363 -0.608 -0.116  0.126  0.356   0.824 1.001  4000
beta.cond.sla        0.387   0.323 -0.235  0.173  0.380  0.589   1.049 1.001  4000
beta.cond.spi       -0.020   0.212 -0.444 -0.157 -0.018  0.120   0.387 1.001  4000
beta.cond.temp      -0.673   0.354 -1.400 -0.897 -0.665 -0.441   0.010 1.001  4000
beta.fluor.humid    -0.036   0.423 -0.893 -0.303 -0.029  0.237   0.769 1.001  4000
beta.fluor.lfarea   -0.135   0.211 -0.561 -0.268 -0.132  0.004   0.269 1.001  4000
beta.fluor.lwr       0.080   0.210 -0.331 -0.059  0.080  0.220   0.507 1.002  1500
beta.fluor.sdi       0.401   0.355 -0.307  0.171  0.404  0.632   1.101 1.001  4000
beta.fluor.sla       0.029   0.293 -0.551 -0.169  0.036  0.224   0.607 1.001  4000
beta.fluor.spi       0.163   0.190 -0.211  0.035  0.158  0.287   0.538 1.002  2600
beta.fluor.temp     -0.212   0.361 -0.905 -0.448 -0.222  0.008   0.558 1.002  1900
beta.lftemp.humid    0.025   0.513 -1.012 -0.294  0.035  0.364   1.003 1.001  4000
beta.lftemp.lfarea  -0.146   0.270 -0.654 -0.319 -0.146  0.027   0.424 1.001  4000
beta.lftemp.lwr     -0.218   0.265 -0.730 -0.394 -0.215 -0.045   0.306 1.001  4000
beta.lftemp.sdi      0.380   0.459 -0.508  0.079  0.378  0.673   1.306 1.002  1900
beta.lftemp.sla     -0.292   0.378 -1.054 -0.534 -0.290 -0.041   0.443 1.001  3600
beta.lftemp.spi     -0.083   0.245 -0.573 -0.240 -0.084  0.081   0.396 1.001  3300
beta.lftemp.temp     0.287   0.503 -0.861  0.020  0.322  0.614   1.181 1.001  3000
beta.photo.cond      0.363   0.522 -0.667  0.034  0.354  0.699   1.415 1.001  4000
beta.photo.fluor    -0.099   0.330 -0.748 -0.311 -0.105  0.114   0.564 1.001  4000
beta.photo.humid    -0.062   0.325 -0.724 -0.263 -0.063  0.147   0.584 1.001  4000
beta.photo.lftemp   -0.324   0.280 -0.881 -0.507 -0.323 -0.148   0.224 1.000  4000
beta.photo.temp      0.131   0.394 -0.670 -0.126  0.139  0.394   0.910 1.000  4000
beta.trans.humid    -0.785   0.584 -1.917 -1.171 -0.803 -0.413   0.407 1.001  4000
beta.trans.lfarea    0.336   0.290 -0.244  0.154  0.341  0.523   0.914 1.002  2100
beta.trans.lwr      -0.111   0.284 -0.671 -0.294 -0.111  0.076   0.449 1.001  4000
beta.trans.sdi      -0.270   0.479 -1.237 -0.583 -0.261  0.039   0.661 1.001  4000
beta.trans.sla       0.522   0.414 -0.275  0.244  0.514  0.783   1.357 1.001  4000
