Path analysis results at De Hoop 
 physiology-path-analysis-model-3.txt 

Inference for Bugs model at "physiology-path-analysis-model-3.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                   mu.vect sd.vect   2.5%    25%    50%    75%   97.5%  Rhat n.eff
beta.cond.temp      -0.821   0.152 -1.122 -0.918 -0.822 -0.722  -0.526 1.001  4000
beta.cond.trans      0.714   0.206  0.314  0.579  0.712  0.850   1.120 1.000  4000
beta.fluor.humid    -0.983   0.395 -1.766 -1.238 -0.983 -0.731  -0.186 1.001  2700
beta.fluor.lfarea   -0.219   0.351 -0.900 -0.447 -0.224  0.014   0.473 1.001  4000
beta.fluor.lwr       0.543   0.370 -0.161  0.302  0.539  0.790   1.308 1.001  3400
beta.fluor.sdi       0.522   0.239  0.063  0.360  0.516  0.678   0.989 1.001  3700
beta.fluor.sla      -0.140   0.254 -0.634 -0.307 -0.138  0.027   0.355 1.001  2900
beta.fluor.spi      -0.223   0.264 -0.764 -0.397 -0.217 -0.045   0.278 1.001  4000
beta.fluor.temp     -0.359   0.294 -0.939 -0.552 -0.362 -0.168   0.220 1.001  4000
beta.lftemp.humid   -0.885   0.373 -1.639 -1.131 -0.883 -0.626  -0.155 1.002  2300
beta.lftemp.lfarea  -0.048   0.246 -0.551 -0.208 -0.045  0.110   0.433 1.001  4000
beta.lftemp.lwr      0.371   0.288 -0.194  0.176  0.369  0.561   0.946 1.001  4000
beta.lftemp.sdi      0.125   0.161 -0.200  0.021  0.122  0.230   0.452 1.001  4000
beta.lftemp.sla      0.455   0.197  0.067  0.326  0.454  0.582   0.841 1.001  3600
beta.lftemp.spi     -0.585   0.195 -0.981 -0.720 -0.581 -0.459  -0.208 1.001  4000
beta.lftemp.temp     0.202   0.284 -0.389  0.018  0.211  0.393   0.739 1.001  2800
beta.photo.cond      0.575   0.189  0.198  0.453  0.573  0.697   0.947 1.001  4000
beta.photo.fluor     0.312   0.116  0.079  0.235  0.314  0.385   0.535 1.000  4000
beta.photo.humid     0.217   0.153 -0.085  0.118  0.217  0.314   0.525 1.001  4000
