Path analysis results at Kleinmond 
 physiology-path-analysis-model-3.txt 

Inference for Bugs model at "physiology-path-analysis-model-3.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                   mu.vect sd.vect   2.5%     25%     50%     75%   97.5%  Rhat n.eff
beta.cond.temp      -0.525   0.119 -0.761  -0.598  -0.524  -0.449  -0.289 1.001  4000
beta.cond.trans      0.511   0.098  0.318   0.448   0.510   0.572   0.705 1.001  3000
beta.fluor.humid    -0.057   0.418 -0.896  -0.323  -0.059   0.218   0.751 1.002  2500
beta.fluor.lfarea   -0.124   0.214 -0.552  -0.262  -0.122   0.008   0.301 1.002  1600
beta.fluor.lwr       0.070   0.213 -0.346  -0.066   0.066   0.211   0.489 1.001  4000
beta.fluor.sdi       0.401   0.363 -0.335   0.165   0.397   0.643   1.112 1.001  4000
beta.fluor.sla       0.029   0.299 -0.573  -0.165   0.030   0.228   0.612 1.000  4000
beta.fluor.spi       0.160   0.193 -0.217   0.033   0.159   0.288   0.545 1.001  3200
beta.fluor.temp     -0.239   0.351 -0.931  -0.467  -0.242  -0.017   0.489 1.002  2600
beta.lftemp.humid    0.057   0.508 -0.955  -0.277   0.069   0.387   1.038 1.002  2400
beta.lftemp.lfarea  -0.140   0.275 -0.681  -0.316  -0.142   0.038   0.410 1.001  4000
beta.lftemp.lwr     -0.207   0.264 -0.736  -0.373  -0.207  -0.032   0.308 1.002  2500
beta.lftemp.sdi      0.380   0.463 -0.517   0.074   0.374   0.675   1.336 1.002  1700
beta.lftemp.sla     -0.307   0.377 -1.066  -0.543  -0.305  -0.066   0.440 1.001  4000
beta.lftemp.spi     -0.079   0.241 -0.552  -0.235  -0.078   0.077   0.399 1.002  2300
beta.lftemp.temp     0.320   0.491 -0.767   0.043   0.352   0.643   1.200 1.001  4000
beta.photo.cond      0.918   0.271  0.374   0.744   0.922   1.090   1.451 1.000  4000
beta.photo.fluor    -0.191   0.317 -0.807  -0.405  -0.194   0.027   0.431 1.001  4000
beta.photo.humid    -0.275   0.280 -0.847  -0.453  -0.275  -0.089   0.268 1.001  3400
beta.photo.lftemp   -0.166   0.256 -0.650  -0.335  -0.172  -0.004   0.358 1.001  4000
beta.photo.temp      0.161   0.407 -0.654  -0.103   0.166   0.436   0.932 1.001  4000
beta.trans.humid    -0.763   0.635 -1.977  -1.180  -0.786  -0.368   0.567 1.001  4000
beta.trans.lfarea    0.343   0.291 -0.225   0.152   0.346   0.531   0.911 1.001  4000
beta.trans.lwr      -0.107   0.295 -0.669  -0.302  -0.112   0.084   0.497 1.001  4000
beta.trans.sdi      -0.223   0.519 -1.244  -0.571  -0.214   0.118   0.784 1.000  4000
beta.trans.sla       0.468   0.411 -0.330   0.196   0.462   0.733   1.295 1.001  4000
beta.trans.spi      -0.054   0.270 -0.598  -0.226  -0.053   0.116   0.465 1.001  4000
beta.trans.temp     -0.473   0.540 -1.589  -0.811  -0.457  -0.116   0.563 1.001  2700
beta.wue.cond       -1.540   0.123 -1.784  -1.620  -1.539  -1.462  -1.292 1.001  2700
beta.wue.photo       0.951   0.103  0.749   0.886   0.949   1.021   1.152 1.001  4000
rho.lf[1,1]          1.000   0.000  1.000   1.000   1.000   1.000   1.000 1.000     1
rho.lf[2,1]         -0.124   0.203 -0.512  -0.264  -0.129   0.011   0.282 1.001  4000
