Path analysis results at De Hoop 
 physiology-path-analysis-model-3.txt 

Inference for Bugs model at "physiology-path-analysis-model-3.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                     mu.vect sd.vect   2.5%    25%    50%    75%   97.5%  Rhat n.eff
beta.cond.lftemp       0.193   0.374 -0.489 -0.060  0.176  0.425   1.010 1.001  4000
beta.cond.trans       -0.714   0.277 -1.244 -0.902 -0.716 -0.539  -0.157 1.001  4000
beta.fluor.humid      -0.983   0.398 -1.767 -1.241 -0.984 -0.730  -0.165 1.001  4000
beta.fluor.lfarea     -0.223   0.340 -0.886 -0.444 -0.226 -0.009   0.453 1.001  4000
beta.fluor.lwr         0.536   0.364 -0.183  0.293  0.540  0.780   1.260 1.001  4000
beta.fluor.sdi         0.518   0.236  0.062  0.363  0.514  0.671   1.005 1.001  3900
beta.fluor.sla        -0.149   0.260 -0.652 -0.320 -0.141  0.020   0.367 1.001  4000
beta.fluor.spi        -0.214   0.267 -0.745 -0.388 -0.217 -0.034   0.310 1.001  4000
beta.fluor.temp       -0.358   0.298 -0.940 -0.553 -0.357 -0.168   0.229 1.001  4000
beta.lftemp.humid     -0.878   0.372 -1.608 -1.130 -0.879 -0.632  -0.143 1.005   630
beta.lftemp.lfarea    -0.048   0.243 -0.549 -0.201 -0.048  0.110   0.421 1.002  1700
beta.lftemp.lwr        0.375   0.288 -0.172  0.186  0.371  0.563   0.964 1.003  1400
beta.lftemp.sdi        0.122   0.161 -0.207  0.020  0.122  0.228   0.439 1.001  4000
beta.lftemp.sla        0.451   0.194  0.055  0.327  0.453  0.579   0.835 1.001  4000
beta.lftemp.spi       -0.581   0.198 -0.983 -0.710 -0.579 -0.449  -0.210 1.004   880
beta.lftemp.temp       0.204   0.280 -0.374  0.029  0.208  0.396   0.731 1.005   610
beta.photo.cond        0.582   0.191  0.204  0.456  0.581  0.706   0.961 1.001  4000
beta.photo.fluor       0.311   0.116  0.074  0.235  0.313  0.389   0.537 1.001  4000
beta.photo.humid       0.217   0.153 -0.087  0.116  0.216  0.318   0.516 1.001  2900
beta.photo.lftemp     -0.046   0.206 -0.455 -0.183 -0.044  0.084   0.369 1.001  2900
beta.photo.temp       -0.261   0.167 -0.596 -0.370 -0.261 -0.153   0.061 1.001  3700
beta.trans.humid       0.081   0.277 -0.462 -0.094  0.080  0.259   0.620 1.002  1800
