Path analysis results at De Hoop 
 physiology-path-analysis-model-4.txt 

Inference for Bugs model at "physiology-path-analysis-model-4.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                     mu.vect sd.vect   2.5%    25%    50%    75%  97.5%  Rhat n.eff
beta.cond.humid        0.312   0.304 -0.281  0.119  0.312  0.510  0.912 1.001  4000
beta.cond.lfarea       0.299   0.236 -0.184  0.150  0.305  0.451  0.750 1.002  2100
beta.cond.lwr         -0.481   0.262 -0.988 -0.657 -0.475 -0.316  0.035 1.002  1800
beta.cond.sdi          0.315   0.154  0.014  0.213  0.316  0.418  0.615 1.001  4000
beta.cond.sla         -0.203   0.185 -0.568 -0.322 -0.205 -0.083  0.166 1.001  4000
beta.cond.spi          0.536   0.187  0.174  0.416  0.534  0.659  0.909 1.001  4000
beta.cond.temp        -0.928   0.227 -1.370 -1.080 -0.928 -0.780 -0.464 1.001  4000
beta.fluor.humid      -1.008   0.404 -1.795 -1.268 -1.014 -0.753 -0.193 1.002  2500
beta.fluor.lfarea     -0.212   0.346 -0.903 -0.439 -0.209  0.009  0.477 1.002  2500
beta.fluor.lwr         0.467   0.361 -0.243  0.224  0.465  0.699  1.178 1.002  1800
beta.fluor.sdi         0.514   0.235  0.055  0.356  0.514  0.667  0.992 1.001  4000
beta.fluor.sla        -0.121   0.258 -0.622 -0.287 -0.118  0.048  0.392 1.001  4000
beta.fluor.spi        -0.202   0.270 -0.729 -0.380 -0.202 -0.021  0.332 1.002  2000
beta.fluor.temp       -0.371   0.299 -0.970 -0.567 -0.367 -0.182  0.236 1.001  4000
beta.lftemp.humid     -0.790   0.370 -1.529 -1.023 -0.788 -0.540 -0.079 1.002  1700
beta.lftemp.lfarea    -0.065   0.248 -0.577 -0.223 -0.055  0.096  0.420 1.002  2000
beta.lftemp.lwr        0.406   0.285 -0.154  0.221  0.396  0.594  0.972 1.001  3900
beta.lftemp.sdi        0.121   0.163 -0.205  0.015  0.120  0.227  0.447 1.000  4000
beta.lftemp.sla        0.449   0.193  0.063  0.321  0.450  0.575  0.819 1.003  1300
beta.lftemp.spi       -0.601   0.202 -1.005 -0.736 -0.597 -0.468 -0.220 1.002  2400
beta.lftemp.temp       0.255   0.273 -0.317  0.081  0.262  0.439  0.765 1.002  2500
beta.photo.cond        0.899   0.183  0.539  0.780  0.897  1.020  1.256 1.002  3500
beta.photo.fluor       0.130   0.112 -0.094  0.060  0.130  0.201  0.355 1.002  2700
beta.photo.lftemp      0.111   0.225 -0.353 -0.031  0.114  0.256  0.548 1.001  4000
mu.lf[1]               0.448   0.191  0.070  0.323  0.452  0.573  0.825 1.002  2600
mu.lf[2]              -0.610   0.107 -0.821 -0.679 -0.610 -0.538 -0.404 1.001  3400
mu.lf[3]              -0.597   0.135 -0.858 -0.688 -0.597 -0.511 -0.332 1.002  2300
mu.lf[4]              -0.319   0.163 -0.632 -0.427 -0.322 -0.209  0.010 1.002  2200
mu.lf[5]               0.658   0.162  0.334  0.552  0.660  0.764  0.972 1.002  2100
mu.ph[1,1]             1.193   0.393  0.444  0.932  1.183  1.449  1.996 1.001  4000
mu.ph[2,1]             0.662   0.402 -0.162  0.407  0.665  0.922  1.457 1.002  2000
mu.ph[3,1]            -0.576   0.324 -1.194 -0.788 -0.576 -0.363  0.054 1.001  4000
mu.ph[4,1]            -1.004   0.318 -1.658 -1.209 -0.999 -0.800 -0.391 1.001  4000
mu.ph[5,1]            -0.325   0.379 -1.056 -0.581 -0.340 -0.083  0.472 1.001  3900
mu.ph[6,1]            -1.116   0.357 -1.830 -1.343 -1.122 -0.890 -0.411 1.002  2400
mu.ph[7,1]             0.766   0.276  0.187  0.589  0.779  0.954  1.270 1.002  2000
mu.ph[8,1]             0.610   0.294 -0.019  0.420  0.621  0.810  1.153 1.001  4000
mu.ph[9,1]            -0.161   0.264 -0.668 -0.337 -0.168  0.011  0.367 1.001  4000
mu.ph[10,1]           -0.191   0.288 -0.741 -0.387 -0.196 -0.003  0.385 1.001  4000
mu.ph[11,1]            1.196   0.396  0.385  0.941  1.196  1.447  1.987 1.001  3100
mu.ph[12,1]            1.559   0.414  0.685  1.297  1.573  1.835  2.326 1.002  1900
mu.ph[13,1]           -0.971   0.381 -1.678 -1.232 -0.984 -0.730 -0.181 1.002  2500
mu.ph[14,1]           -0.792   0.328 -1.412 -1.015 -0.800 -0.585 -0.088 1.001  4000
mu.ph[15,1]            0.167   0.361 -0.519 -0.079  0.161  0.399  0.906 1.001  4000
mu.ph[16,1]            0.316   0.354 -0.387  0.085  0.316  0.541  1.027 1.001  4000
mu.ph[17,1]           -0.611   0.358 -1.297 -0.838 -0.618 -0.389  0.120 1.002  1800
mu.ph[18,1]           -1.145   0.351 -1.855 -1.379 -1.138 -0.919 -0.457 1.001  2700
mu.ph[19,1]            0.980   0.409  0.137  0.733  0.994  1.246  1.745 1.001  4000
mu.ph[20,1]            1.180   0.382  0.387  0.937  1.189  1.435  1.910 1.001  3200
mu.ph[21,1]            0.315   0.345 -0.388  0.092  0.325  0.541  0.990 1.001  4000
mu.ph[22,1]            0.988   0.345  0.292  0.767  0.994  1.214  1.643 1.001  3800
mu.ph[23,1]            0.592   0.356 -0.140  0.365  0.591  0.825  1.277 1.001  3800
mu.ph[24,1]            1.107   0.360  0.384  0.875  1.107  1.342  1.804 1.001  4000
mu.ph[25,1]            0.244   0.346 -0.449  0.020  0.255  0.481  0.881 1.002  2500
mu.ph[26,1]            0.705   0.356 -0.041  0.475  0.718  0.932  1.395 1.001  4000
mu.ph[1,2]             1.496   0.547  0.451  1.141  1.495  1.847  2.583 1.001  4000
mu.ph[2,2]             0.281   0.589 -0.910 -0.098  0.288  0.664  1.422 1.002  1700
mu.ph[3,2]             0.682   0.466 -0.286  0.391  0.694  0.992  1.572 1.001  3400
mu.ph[4,2]             0.531   0.464 -0.426  0.230  0.538  0.849  1.405 1.001  3700
mu.ph[5,2]            -0.374   0.509 -1.362 -0.703 -0.384 -0.047  0.635 1.001  4000
mu.ph[6,2]            -0.805   0.503 -1.787 -1.132 -0.803 -0.479  0.172 1.001  4000
mu.ph[7,2]             1.360   0.379  0.600  1.122  1.368  1.616  2.067 1.002  2200
mu.ph[8,2]             1.247   0.378  0.493  1.005  1.254  1.493  1.994 1.002  2300
mu.ph[9,2]             0.430   0.363 -0.305  0.193  0.432  0.670  1.160 1.002  2200
mu.ph[10,2]            0.215   0.396 -0.571 -0.039  0.218  0.479  0.971 1.002  2400
mu.ph[11,2]            1.927   0.566  0.799  1.560  1.944  2.288  3.018 1.002  2600
mu.ph[12,2]            1.059   0.563 -0.054  0.692  1.049  1.435  2.166 1.001  4000
mu.ph[13,2]            1.047   0.524  0.023  0.702  1.034  1.389  2.108 1.002  1900
mu.ph[14,2]            0.210   0.436 -0.656 -0.077  0.218  0.499  1.058 1.003  1400
mu.ph[15,2]           -0.522   0.515 -1.520 -0.862 -0.532 -0.189  0.510 1.001  4000
mu.ph[16,2]           -1.172   0.512 -2.147 -1.503 -1.174 -0.848 -0.147 1.001  4000
