Path analysis results at Kleinmond 
 physiology-path-analysis-model-4.txt 

Inference for Bugs model at "physiology-path-analysis-model-4.txt", fit using jags,
 5 chains, each with 25000 iterations (first 5000 discarded), n.thin = 25
 n.sims = 4000 iterations saved
                     mu.vect sd.vect   2.5%    25%    50%    75%   97.5%  Rhat n.eff
beta.cond.humid       -0.434   0.445 -1.311 -0.724 -0.439 -0.151   0.505 1.001  4000
beta.cond.lfarea       0.345   0.229 -0.119  0.193  0.350  0.494   0.797 1.001  4000
beta.cond.lwr         -0.124   0.222 -0.556 -0.268 -0.125  0.017   0.316 1.001  4000
beta.cond.sdi          0.129   0.385 -0.638 -0.116  0.135  0.377   0.907 1.001  4000
beta.cond.sla          0.308   0.317 -0.327  0.102  0.306  0.518   0.942 1.002  2200
beta.cond.spi          0.022   0.206 -0.390 -0.108  0.022  0.156   0.431 1.001  4000
beta.cond.temp        -0.715   0.382 -1.492 -0.958 -0.710 -0.467   0.026 1.001  4000
beta.fluor.humid      -0.044   0.418 -0.909 -0.297 -0.036  0.229   0.752 1.002  2500
beta.fluor.lfarea     -0.122   0.215 -0.543 -0.265 -0.122  0.016   0.314 1.001  4000
beta.fluor.lwr         0.077   0.212 -0.349 -0.061  0.080  0.214   0.500 1.001  3600
beta.fluor.sdi         0.391   0.356 -0.302  0.162  0.391  0.625   1.090 1.001  4000
beta.fluor.sla         0.024   0.301 -0.580 -0.168  0.026  0.218   0.617 1.001  4000
beta.fluor.spi         0.167   0.194 -0.209  0.040  0.167  0.291   0.564 1.001  4000
beta.fluor.temp       -0.224   0.357 -0.935 -0.449 -0.228 -0.005   0.493 1.002  1500
beta.lftemp.humid      0.048   0.523 -1.037 -0.284  0.064  0.394   1.020 1.001  3000
beta.lftemp.lfarea    -0.136   0.272 -0.671 -0.310 -0.136  0.043   0.401 1.001  4000
beta.lftemp.lwr       -0.207   0.267 -0.723 -0.383 -0.208 -0.035   0.314 1.001  4000
beta.lftemp.sdi        0.386   0.454 -0.526  0.093  0.377  0.684   1.296 1.001  4000
beta.lftemp.sla       -0.317   0.366 -1.059 -0.545 -0.314 -0.075   0.398 1.002  2400
beta.lftemp.spi       -0.079   0.246 -0.585 -0.238 -0.079  0.085   0.391 1.001  4000
beta.lftemp.temp       0.291   0.481 -0.809  0.009  0.333  0.617   1.142 1.003  1300
beta.photo.cond        0.763   0.249  0.276  0.605  0.760  0.919   1.268 1.003  1300
beta.photo.fluor      -0.195   0.318 -0.830 -0.398 -0.193  0.008   0.439 1.001  4000
